episode: 0, score: 281.67632199213887, average_score : 281.67632199213887, number of frames: 255, epsilon: 0
episode: 1, score: 246.82666937182063, average_score : 264.25149568197975, number of frames: 265, epsilon: 0
episode: 2, score: 26.589907157780203, average_score : 185.03096617391324, number of frames: 212, epsilon: 0
episode: 3, score: 233.40361165346047, average_score : 197.12412754380006, number of frames: 250, epsilon: 0
episode: 4, score: -2.5000446785540333, average_score : 157.19929309932925, number of frames: 220, epsilon: 0
episode: 5, score: 289.38478014593034, average_score : 179.2302076070961, number of frames: 325, epsilon: 0
episode: 6, score: 261.28076527358235, average_score : 190.95171584516558, number of frames: 258, epsilon: 0
episode: 7, score: 205.15310435946293, average_score : 192.72688940945272, number of frames: 282, epsilon: 0
episode: 8, score: 4.987181514337109, average_score : 171.866921865551, number of frames: 251, epsilon: 0
episode: 9, score: 238.2870669744291, average_score : 178.5089363764388, number of frames: 234, epsilon: 0
episode: 10, score: 227.5885668209184, average_score : 182.9707209623006, number of frames: 234, epsilon: 0
episode: 11, score: 240.14247313465233, average_score : 187.7350336433299, number of frames: 262, epsilon: 0
episode: 12, score: 267.5075913291166, average_score : 193.87138423454428, number of frames: 341, epsilon: 0
episode: 13, score: 3.595820319864657, average_score : 180.2802725263529, number of frames: 210, epsilon: 0
episode: 14, score: 265.71975259158484, average_score : 185.976237864035, number of frames: 267, epsilon: 0
episode: 15, score: 284.30960852511805, average_score : 192.12207353035268, number of frames: 291, epsilon: 0
episode: 16, score: 274.4497030002894, average_score : 196.96487526387838, number of frames: 241, epsilon: 0
episode: 17, score: 259.2985382249468, average_score : 200.4278565394933, number of frames: 240, epsilon: 0
episode: 18, score: 259.28771015713966, average_score : 203.525743572001, number of frames: 309, epsilon: 0
episode: 19, score: 7.07294635121103, average_score : 193.7031037109615, number of frames: 224, epsilon: 0
episode: 20, score: 249.00583729808537, average_score : 196.33656721511025, number of frames: 260, epsilon: 0
episode: 21, score: 235.6900723369157, average_score : 198.125362902465, number of frames: 252, epsilon: 0
episode: 22, score: 251.8626465127791, average_score : 200.46176653769606, number of frames: 856, epsilon: 0
episode: 23, score: 244.91791796499, average_score : 202.31410618050003, number of frames: 233, epsilon: 0
