episode: 0, score: 229.34521403614116, average_score : 229.34521403614116, number of frames: 208, epsilon: 0
episode: 1, score: 279.8332525865534, average_score : 254.58923331134727, number of frames: 243, epsilon: 0
episode: 2, score: 288.3238593465286, average_score : 265.83410865640775, number of frames: 232, epsilon: 0
episode: 3, score: 291.0784710940127, average_score : 272.14519926580897, number of frames: 246, epsilon: 0
episode: 4, score: 259.9614949466777, average_score : 269.70845840198274, number of frames: 207, epsilon: 0
episode: 5, score: 134.0467488938218, average_score : 247.0981734839559, number of frames: 1000, epsilon: 0
episode: 6, score: 280.1730834236069, average_score : 251.82316061819174, number of frames: 258, epsilon: 0
episode: 7, score: 310.84531879120914, average_score : 259.20093038981895, number of frames: 216, epsilon: 0
episode: 8, score: 287.69417466024004, average_score : 262.36684641986574, number of frames: 241, epsilon: 0
episode: 9, score: 223.75513651933522, average_score : 258.5056754298127, number of frames: 232, epsilon: 0
episode: 10, score: 304.26361179317377, average_score : 262.6654878264819, number of frames: 241, epsilon: 0
episode: 11, score: 286.558918398703, average_score : 264.65660704083365, number of frames: 245, epsilon: 0
episode: 12, score: 249.37194145665367, average_score : 263.48086353435826, number of frames: 289, epsilon: 0
episode: 13, score: 301.17050843445304, average_score : 266.1729810272222, number of frames: 261, epsilon: 0
episode: 14, score: 256.5431429906613, average_score : 265.5309918247848, number of frames: 236, epsilon: 0
episode: 15, score: 251.68432093492504, average_score : 264.66557489416857, number of frames: 209, epsilon: 0
episode: 16, score: 259.03879171487677, average_score : 264.33458764832784, number of frames: 242, epsilon: 0
episode: 17, score: 309.6666638974289, average_score : 266.85303632883347, number of frames: 215, epsilon: 0
episode: 18, score: 310.8755309123404, average_score : 269.17000972796546, number of frames: 209, epsilon: 0
episode: 19, score: 300.3135314871628, average_score : 270.7271858159253, number of frames: 217, epsilon: 0
episode: 20, score: 270.1376922068912, average_score : 270.69911469168557, number of frames: 231, epsilon: 0
episode: 21, score: 257.84938193375285, average_score : 270.1150359299614, number of frames: 208, epsilon: 0
episode: 22, score: 233.39888023262696, average_score : 268.5186813344251, number of frames: 221, epsilon: 0
episode: 23, score: 290.8715816195288, average_score : 269.4500521796377, number of frames: 241, epsilon: 0
episode: 24, score: 279.42756252587225, average_score : 269.8491525934871, number of frames: 215, epsilon: 0
episode: 25, score: 300.86223453734766, average_score : 271.04196343748174, number of frames: 234, epsilon: 0
episode: 26, score: 283.5726887706961, average_score : 271.5060643757489, number of frames: 230, epsilon: 0
episode: 27, score: 269.58901394487805, average_score : 271.4375982889321, number of frames: 210, epsilon: 0
episode: 28, score: 289.8337598047551, average_score : 272.0719486860295, number of frames: 227, epsilon: 0
episode: 29, score: 34.91183889115982, average_score : 264.16661169286715, number of frames: 133, epsilon: 0
episode: 30, score: 263.9532799851265, average_score : 264.15973002487556, number of frames: 202, epsilon: 0
episode: 31, score: 122.55903000322742, average_score : 259.734708149199, number of frames: 1000, epsilon: 0
episode: 32, score: 288.6989669998479, average_score : 260.612412962855, number of frames: 231, epsilon: 0
episode: 33, score: 308.17048353143366, average_score : 262.01117974428377, number of frames: 273, epsilon: 0
episode: 34, score: 259.3375613361188, average_score : 261.93479064690763, number of frames: 203, epsilon: 0
episode: 35, score: 230.4543847926378, average_score : 261.0603349287335, number of frames: 245, epsilon: 0
episode: 36, score: 284.24467443929717, average_score : 261.6869386992892, number of frames: 221, epsilon: 0
episode: 37, score: 262.47750496203884, average_score : 261.7077430746247, number of frames: 225, epsilon: 0
episode: 38, score: 272.86715105167264, average_score : 261.9938817407029, number of frames: 245, epsilon: 0
episode: 39, score: 241.0814994626401, average_score : 261.4710721837514, number of frames: 201, epsilon: 0
episode: 40, score: 288.94132868283555, average_score : 262.14107843982663, number of frames: 255, epsilon: 0
episode: 41, score: 272.9025767744835, average_score : 262.3973045906518, number of frames: 254, epsilon: 0
episode: 42, score: 263.4874686671616, average_score : 262.42265724359385, number of frames: 214, epsilon: 0
episode: 43, score: 281.7871527375503, average_score : 262.8627594139111, number of frames: 254, epsilon: 0
episode: 44, score: 292.11973288490105, average_score : 263.5129143799331, number of frames: 219, epsilon: 0
episode: 45, score: 303.71718410424245, average_score : 264.38692024350496, number of frames: 229, epsilon: 0
episode: 46, score: 259.63269752762807, average_score : 264.2857665686991, number of frames: 235, epsilon: 0
episode: 47, score: 240.75600047651113, average_score : 263.79556310844515, number of frames: 206, epsilon: 0
episode: 48, score: 271.94408589278316, average_score : 263.961859491799, number of frames: 216, epsilon: 0
episode: 49, score: 217.85077784189122, average_score : 263.03963785880086, number of frames: 691, epsilon: 0
episode: 50, score: 246.0175276750993, average_score : 262.70587099245375, number of frames: 301, epsilon: 0
episode: 51, score: 302.7610095483097, average_score : 263.47616211852795, number of frames: 232, epsilon: 0
episode: 52, score: 250.5213892286099, average_score : 263.23173244135967, number of frames: 221, epsilon: 0
episode: 53, score: 267.20204372240073, average_score : 263.3052567243419, number of frames: 230, epsilon: 0
episode: 54, score: 293.97654843988636, average_score : 263.86291657371544, number of frames: 217, epsilon: 0
episode: 55, score: 255.76520469169466, average_score : 263.7183145758222, number of frames: 298, epsilon: 0
episode: 56, score: 238.60704373791458, average_score : 263.2777659646309, number of frames: 233, epsilon: 0
episode: 57, score: 278.89562129969204, average_score : 263.54703933247674, number of frames: 244, epsilon: 0
episode: 58, score: 240.45260279150006, average_score : 263.15560820466357, number of frames: 207, epsilon: 0
episode: 59, score: 137.32348313266257, average_score : 261.0584061201302, number of frames: 1000, epsilon: 0
episode: 60, score: 264.2445518297713, average_score : 261.1106380170096, number of frames: 239, epsilon: 0
episode: 61, score: 239.92317047281801, average_score : 260.7689046695226, number of frames: 223, epsilon: 0
episode: 62, score: 268.4165692274221, average_score : 260.8902961704417, number of frames: 266, epsilon: 0
episode: 63, score: 270.15916862849883, average_score : 261.0351223025988, number of frames: 219, epsilon: 0
episode: 64, score: 265.8181321488911, average_score : 261.1087070694648, number of frames: 228, epsilon: 0
episode: 65, score: 118.84489401012935, average_score : 258.953194750384, number of frames: 1000, epsilon: 0
episode: 66, score: 281.9628203333082, average_score : 259.2966219978903, number of frames: 205, epsilon: 0
episode: 67, score: 276.9952155325768, average_score : 259.55689543222394, number of frames: 244, epsilon: 0
episode: 68, score: 286.7939167796736, average_score : 259.95163487204206, number of frames: 186, epsilon: 0
episode: 69, score: 303.5676482277113, average_score : 260.57472077712305, number of frames: 242, epsilon: 0
episode: 70, score: 251.6835148541558, average_score : 260.4494925246869, number of frames: 198, epsilon: 0
episode: 71, score: 41.1848364758319, average_score : 257.4041500795639, number of frames: 156, epsilon: 0
episode: 72, score: 274.43956730849163, average_score : 257.6375119594122, number of frames: 245, epsilon: 0
episode: 73, score: 308.6137702848409, average_score : 258.32638031516126, number of frames: 226, epsilon: 0
episode: 74, score: 296.3323663904058, average_score : 258.8331267961645, number of frames: 224, epsilon: 0
episode: 75, score: 289.4963038011872, average_score : 259.2365896514937, number of frames: 220, epsilon: 0
episode: 76, score: 139.44480258847216, average_score : 257.6808521571688, number of frames: 1000, epsilon: 0
episode: 77, score: 276.9141511265582, average_score : 257.9274329131866, number of frames: 208, epsilon: 0
episode: 78, score: 290.2669241824294, average_score : 258.33679356216436, number of frames: 229, epsilon: 0
episode: 79, score: 264.0781245201942, average_score : 258.40856019913974, number of frames: 248, epsilon: 0
episode: 80, score: 250.9523446327373, average_score : 258.31650815511006, number of frames: 195, epsilon: 0
episode: 81, score: 291.22488733876446, average_score : 258.7178298524717, number of frames: 220, epsilon: 0
episode: 82, score: 263.6277672344895, average_score : 258.7769857245442, number of frames: 258, epsilon: 0
episode: 83, score: 178.0937133332658, average_score : 257.81647057702895, number of frames: 1000, epsilon: 0
episode: 84, score: 221.47045418599524, average_score : 257.38887038419324, number of frames: 209, epsilon: 0
episode: 85, score: 269.7198492328271, average_score : 257.5322538591774, number of frames: 248, epsilon: 0
episode: 86, score: 254.7007611652857, average_score : 257.4997079661441, number of frames: 221, epsilon: 0
episode: 87, score: 309.00269313796366, average_score : 258.0849691612785, number of frames: 246, epsilon: 0
episode: 88, score: 286.23065065455876, average_score : 258.4012127735625, number of frames: 239, epsilon: 0
episode: 89, score: 262.63163575447936, average_score : 258.4482174733505, number of frames: 236, epsilon: 0
episode: 90, score: 255.1519456056382, average_score : 258.4119947055734, number of frames: 201, epsilon: 0
episode: 91, score: 117.46775710842078, average_score : 256.8799921229957, number of frames: 1000, epsilon: 0
episode: 92, score: 292.93657713926217, average_score : 257.26769733822437, number of frames: 249, epsilon: 0
episode: 93, score: 252.82112751160864, average_score : 257.22039340389864, number of frames: 213, epsilon: 0
episode: 94, score: 214.90545839321243, average_score : 256.7749730353651, number of frames: 237, epsilon: 0
episode: 95, score: 282.6835069034094, average_score : 257.0448535964906, number of frames: 224, epsilon: 0
episode: 96, score: 301.103623680382, average_score : 257.4990677210668, number of frames: 222, epsilon: 0
episode: 97, score: 288.94219773420156, average_score : 257.81991598650694, number of frames: 224, epsilon: 0
episode: 98, score: 285.9922836433251, average_score : 258.10448535677784, number of frames: 222, epsilon: 0
episode: 99, score: 255.5548380062132, average_score : 258.0789888832722, number of frames: 199, epsilon: 0
episode: 100, score: 261.97017650741634, average_score : 258.40523850798496, number of frames: 374, epsilon: 0
episode: 101, score: 274.1345126480587, average_score : 258.34825110860004, number of frames: 219, epsilon: 0
episode: 102, score: 272.71105075156925, average_score : 258.19212302265043, number of frames: 228, epsilon: 0
episode: 103, score: 299.9459729441097, average_score : 258.28079804115146, number of frames: 247, epsilon: 0
episode: 104, score: 274.49185216883234, average_score : 258.42610161337296, number of frames: 217, epsilon: 0
episode: 105, score: 289.3060378360055, average_score : 259.9786945027948, number of frames: 245, epsilon: 0
episode: 106, score: 233.77221529896437, average_score : 259.5146858215483, number of frames: 206, epsilon: 0
episode: 107, score: 294.0578944169175, average_score : 259.3468115778054, number of frames: 223, epsilon: 0
episode: 108, score: 282.57743236882277, average_score : 259.29564415489125, number of frames: 234, epsilon: 0
episode: 109, score: 284.7405447589414, average_score : 259.9054982372873, number of frames: 244, epsilon: 0
episode: 110, score: 301.87560825437464, average_score : 259.88161820189936, number of frames: 241, epsilon: 0
episode: 111, score: 284.5270573814257, average_score : 259.86129959172655, number of frames: 236, epsilon: 0
episode: 112, score: 322.24052733497973, average_score : 260.5899854505098, number of frames: 212, epsilon: 0
episode: 113, score: 63.20778005616668, average_score : 258.21035816672696, number of frames: 203, epsilon: 0
episode: 114, score: 258.7959557713938, average_score : 258.23288629453435, number of frames: 230, epsilon: 0
episode: 115, score: 286.4809896729662, average_score : 258.58085298191475, number of frames: 260, epsilon: 0
episode: 116, score: 251.4990988810306, average_score : 258.50545605357627, number of frames: 261, epsilon: 0
episode: 117, score: 288.14518370475776, average_score : 258.29024125164955, number of frames: 198, epsilon: 0
episode: 118, score: 213.93785511879514, average_score : 257.32086449371405, number of frames: 220, epsilon: 0
episode: 119, score: 112.97811418441478, average_score : 255.4475103206866, number of frames: 1000, epsilon: 0
episode: 120, score: 288.41951617464116, average_score : 255.63032856036406, number of frames: 216, epsilon: 0
episode: 121, score: 242.5236390241554, average_score : 255.47707113126813, number of frames: 219, epsilon: 0
episode: 122, score: 271.0303253909719, average_score : 255.8533855828516, number of frames: 197, epsilon: 0
