episode: 0, score: 246.77960691464202, average_score : 246.77960691464202, number of frames: 313, epsilon: 0
episode: 1, score: 279.0045349984376, average_score : 262.8920709565398, number of frames: 253, epsilon: 0
episode: 2, score: 257.3417952552605, average_score : 261.04197905611335, number of frames: 250, epsilon: 0
episode: 3, score: 278.59893612515214, average_score : 265.43121832337306, number of frames: 278, epsilon: 0
episode: 4, score: 279.5441153329064, average_score : 268.2537977252797, number of frames: 264, epsilon: 0
episode: 5, score: 310.49339409700053, average_score : 275.29373045389985, number of frames: 289, epsilon: 0
episode: 6, score: 269.49753979788886, average_score : 274.46570321732685, number of frames: 239, epsilon: 0
episode: 7, score: 290.2078411979666, average_score : 276.4334704649068, number of frames: 257, epsilon: 0
episode: 8, score: 238.90221556698123, average_score : 272.263331031804, number of frames: 223, epsilon: 0
episode: 9, score: 136.68649100564224, average_score : 258.70564702918784, number of frames: 1000, epsilon: 0
episode: 10, score: 235.64827519736787, average_score : 256.6095223172042, number of frames: 219, epsilon: 0
episode: 11, score: 236.24598021936546, average_score : 254.91256047571764, number of frames: 227, epsilon: 0
episode: 12, score: 297.2513740073193, average_score : 258.16939228584084, number of frames: 243, epsilon: 0
episode: 13, score: 279.1299836011464, average_score : 259.6665773797912, number of frames: 260, epsilon: 0
episode: 14, score: 287.0636629466356, average_score : 261.49304975091417, number of frames: 227, epsilon: 0
episode: 15, score: 279.8542671418379, average_score : 262.6406258378469, number of frames: 243, epsilon: 0
episode: 16, score: 276.7640104131679, average_score : 263.471413165807, number of frames: 251, epsilon: 0
episode: 17, score: 297.11571598842244, average_score : 265.3405411003967, number of frames: 279, epsilon: 0
episode: 18, score: 282.65790436568454, average_score : 266.251981272254, number of frames: 277, epsilon: 0
episode: 19, score: 246.62353263881334, average_score : 265.27055884058194, number of frames: 247, epsilon: 0
episode: 20, score: 228.38613514141403, average_score : 263.5141577120502, number of frames: 215, epsilon: 0
episode: 21, score: 309.05972771983227, average_score : 265.58441089422206, number of frames: 233, epsilon: 0
episode: 22, score: 307.0161224641827, average_score : 267.3857896581334, number of frames: 281, epsilon: 0
episode: 23, score: 299.8846623279228, average_score : 268.73990935270797, number of frames: 247, epsilon: 0
episode: 24, score: 233.30000716729086, average_score : 267.32231326529126, number of frames: 227, epsilon: 0
episode: 25, score: 263.4834417649857, average_score : 267.1746643614334, number of frames: 222, epsilon: 0
episode: 26, score: 268.948621879997, average_score : 267.24036649175054, number of frames: 252, epsilon: 0
episode: 27, score: 281.5435168026604, average_score : 267.75119328856874, number of frames: 266, epsilon: 0
episode: 28, score: 261.8519811152936, average_score : 267.54777217914545, number of frames: 251, epsilon: 0
episode: 29, score: 254.37709884504247, average_score : 267.10874973467537, number of frames: 225, epsilon: 0
episode: 30, score: 288.60503382086995, average_score : 267.8021782535849, number of frames: 262, epsilon: 0
episode: 31, score: 166.69737508461674, average_score : 264.64265315455464, number of frames: 1000, epsilon: 0
episode: 32, score: 267.0582374227734, average_score : 264.715852677834, number of frames: 248, epsilon: 0
episode: 33, score: 263.9524447738195, average_score : 264.6933995041865, number of frames: 239, epsilon: 0
episode: 34, score: 103.3527804869483, average_score : 260.0836675322654, number of frames: 1000, epsilon: 0
episode: 35, score: 240.95144271467268, average_score : 259.55221684288784, number of frames: 229, epsilon: 0
episode: 36, score: 267.3693594269498, average_score : 259.76349096678143, number of frames: 233, epsilon: 0
episode: 37, score: 119.9035477670735, average_score : 256.08296614573646, number of frames: 1000, epsilon: 0
episode: 38, score: 256.45500127700893, average_score : 256.0925055080768, number of frames: 221, epsilon: 0
episode: 39, score: 286.22431281271054, average_score : 256.8458006906926, number of frames: 253, epsilon: 0
episode: 40, score: 287.8262780222534, average_score : 257.6014220890234, number of frames: 247, epsilon: 0
episode: 41, score: 259.2968507392498, average_score : 257.6417894378383, number of frames: 258, epsilon: 0
episode: 42, score: 153.42311303433328, average_score : 255.2180992889196, number of frames: 1000, epsilon: 0
episode: 43, score: 297.19781714475164, average_score : 256.1721837856431, number of frames: 292, epsilon: 0
episode: 44, score: 270.66095762626736, average_score : 256.4941565376569, number of frames: 219, epsilon: 0
episode: 45, score: 244.30863048303613, average_score : 256.2292537973391, number of frames: 254, epsilon: 0
episode: 46, score: 300.3407307210682, average_score : 257.16779585954606, number of frames: 252, epsilon: 0
episode: 47, score: 302.4856882136089, average_score : 258.11191861692237, number of frames: 275, epsilon: 0
episode: 48, score: 292.15814250100783, average_score : 258.80673951251595, number of frames: 278, epsilon: 0
episode: 49, score: 298.70423577296515, average_score : 259.60468943772497, number of frames: 262, epsilon: 0
episode: 50, score: 308.1913524971096, average_score : 260.557369105556, number of frames: 294, epsilon: 0
episode: 51, score: 239.84299875943125, average_score : 260.15901582966904, number of frames: 372, epsilon: 0
episode: 52, score: 282.0627585543623, average_score : 260.57229399428587, number of frames: 242, epsilon: 0
episode: 53, score: 296.9900692409514, average_score : 261.24669723959454, number of frames: 258, epsilon: 0
episode: 54, score: 263.9947472548024, average_score : 261.29666178532557, number of frames: 287, epsilon: 0
episode: 55, score: 257.8029589435196, average_score : 261.234274234579, number of frames: 244, epsilon: 0
episode: 56, score: 270.24564934760997, average_score : 261.3923685348076, number of frames: 263, epsilon: 0
episode: 57, score: 264.5499349771158, average_score : 261.44680933553707, number of frames: 213, epsilon: 0
episode: 58, score: 265.6930526393486, average_score : 261.5187795610254, number of frames: 250, epsilon: 0
episode: 59, score: 305.9473508675263, average_score : 262.25925574946706, number of frames: 227, epsilon: 0
episode: 60, score: 265.24527418539276, average_score : 262.3082068713675, number of frames: 250, epsilon: 0
episode: 61, score: 264.74093453386143, average_score : 262.3474444143109, number of frames: 261, epsilon: 0
episode: 62, score: 239.57812837031, average_score : 261.98602669932677, number of frames: 227, epsilon: 0
episode: 63, score: 237.92723946723856, average_score : 261.6101081488254, number of frames: 247, epsilon: 0
episode: 64, score: 273.13046611069444, average_score : 261.78734442516185, number of frames: 235, epsilon: 0
episode: 65, score: 285.2120009442327, average_score : 262.14226346332964, number of frames: 257, epsilon: 0
episode: 66, score: 242.79192924233774, average_score : 261.85345250480736, number of frames: 245, epsilon: 0
episode: 67, score: 243.97982589426607, average_score : 261.5906050546523, number of frames: 242, epsilon: 0
episode: 68, score: 234.4226872124349, average_score : 261.19686711491005, number of frames: 220, epsilon: 0
episode: 69, score: 267.20723611597253, average_score : 261.28272952921094, number of frames: 207, epsilon: 0
episode: 70, score: 279.7037068727538, average_score : 261.5421799143313, number of frames: 241, epsilon: 0
episode: 71, score: 298.4359832386634, average_score : 262.05459384939144, number of frames: 251, epsilon: 0
episode: 72, score: 252.21934895438173, average_score : 261.91986446726804, number of frames: 235, epsilon: 0
episode: 73, score: 260.2224925415584, average_score : 261.8969270088125, number of frames: 215, epsilon: 0
episode: 74, score: 244.39303953924832, average_score : 261.66354184255164, number of frames: 227, epsilon: 0
episode: 75, score: 155.74853239869816, average_score : 260.26992329723777, number of frames: 1000, epsilon: 0
episode: 76, score: 307.0396633278264, average_score : 260.87732251841425, number of frames: 280, epsilon: 0
episode: 77, score: 274.043928579987, average_score : 261.0461251602293, number of frames: 240, epsilon: 0
episode: 78, score: 117.08082416681391, average_score : 259.2237795780341, number of frames: 1000, epsilon: 0
episode: 79, score: 309.8439641452596, average_score : 259.85653188512447, number of frames: 275, epsilon: 0
episode: 80, score: 195.67652802163178, average_score : 259.06418615841466, number of frames: 408, epsilon: 0
episode: 81, score: 271.0568338352764, average_score : 259.210437959352, number of frames: 317, epsilon: 0
episode: 82, score: 247.31993556709764, average_score : 259.0671788943851, number of frames: 263, epsilon: 0
