Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: 20.0, average_score : 20.0, number of frames: 20, epsilon: 0.995
episode: 1, score: 23.0, average_score : 21.5, number of frames: 23, epsilon: 0.990025
episode: 2, score: 64.0, average_score : 35.666666666666664, number of frames: 64, epsilon: 0.985074875
episode: 3, score: 20.0, average_score : 31.75, number of frames: 20, epsilon: 0.9801495006250001
episode: 4, score: 35.0, average_score : 32.4, number of frames: 35, epsilon: 0.9752487531218751
episode: 5, score: 19.0, average_score : 30.166666666666668, number of frames: 19, epsilon: 0.9703725093562657
episode: 6, score: 27.0, average_score : 29.714285714285715, number of frames: 27, epsilon: 0.9655206468094844
episode: 7, score: 27.0, average_score : 29.375, number of frames: 27, epsilon: 0.960693043575437
episode: 8, score: 17.0, average_score : 28.0, number of frames: 17, epsilon: 0.9558895783575597
episode: 9, score: 13.0, average_score : 26.5, number of frames: 13, epsilon: 0.9511101304657719
episode: 10, score: 15.0, average_score : 25.454545454545453, number of frames: 15, epsilon: 0.946354579813443
episode: 11, score: 12.0, average_score : 24.333333333333332, number of frames: 12, epsilon: 0.9416228069143757
episode: 12, score: 36.0, average_score : 25.23076923076923, number of frames: 36, epsilon: 0.9369146928798039
episode: 13, score: 14.0, average_score : 24.428571428571427, number of frames: 14, epsilon: 0.9322301194154049
episode: 14, score: 36.0, average_score : 25.2, number of frames: 36, epsilon: 0.9275689688183278
episode: 15, score: 31.0, average_score : 25.5625, number of frames: 31, epsilon: 0.9229311239742362
episode: 16, score: 13.0, average_score : 24.823529411764707, number of frames: 13, epsilon: 0.918316468354365
episode: 17, score: 19.0, average_score : 24.5, number of frames: 19, epsilon: 0.9137248860125932
episode: 18, score: 13.0, average_score : 23.894736842105264, number of frames: 13, epsilon: 0.9091562615825302
episode: 19, score: 22.0, average_score : 23.8, number of frames: 22, epsilon: 0.9046104802746175
episode: 20, score: 17.0, average_score : 23.476190476190474, number of frames: 17, epsilon: 0.9000874278732445
episode: 21, score: 36.0, average_score : 24.045454545454547, number of frames: 36, epsilon: 0.8955869907338783
episode: 22, score: 20.0, average_score : 23.869565217391305, number of frames: 20, epsilon: 0.8911090557802088
episode: 23, score: 19.0, average_score : 23.666666666666668, number of frames: 19, epsilon: 0.8866535105013078
episode: 24, score: 12.0, average_score : 23.2, number of frames: 12, epsilon: 0.8822202429488013
episode: 25, score: 16.0, average_score : 22.923076923076923, number of frames: 16, epsilon: 0.8778091417340573
episode: 26, score: 15.0, average_score : 22.62962962962963, number of frames: 15, epsilon: 0.8734200960253871
episode: 27, score: 10.0, average_score : 22.178571428571427, number of frames: 10, epsilon: 0.8690529955452602
episode: 28, score: 13.0, average_score : 21.862068965517242, number of frames: 13, epsilon: 0.8647077305675338
episode: 29, score: 11.0, average_score : 21.5, number of frames: 11, epsilon: 0.8603841919146962
episode: 30, score: 21.0, average_score : 21.483870967741936, number of frames: 21, epsilon: 0.8560822709551227
episode: 31, score: 13.0, average_score : 21.21875, number of frames: 13, epsilon: 0.851801859600347
episode: 32, score: 9.0, average_score : 20.848484848484848, number of frames: 9, epsilon: 0.8475428503023453
episode: 33, score: 13.0, average_score : 20.61764705882353, number of frames: 13, epsilon: 0.8433051360508336
episode: 34, score: 27.0, average_score : 20.8, number of frames: 27, epsilon: 0.8390886103705794
episode: 35, score: 14.0, average_score : 20.61111111111111, number of frames: 14, epsilon: 0.8348931673187264
episode: 36, score: 13.0, average_score : 20.405405405405407, number of frames: 13, epsilon: 0.8307187014821328
episode: 37, score: 20.0, average_score : 20.394736842105264, number of frames: 20, epsilon: 0.8265651079747222
episode: 38, score: 12.0, average_score : 20.17948717948718, number of frames: 12, epsilon: 0.8224322824348486
episode: 39, score: 8.0, average_score : 19.875, number of frames: 8, epsilon: 0.8183201210226743
episode: 40, score: 14.0, average_score : 19.73170731707317, number of frames: 14, epsilon: 0.8142285204175609
episode: 41, score: 11.0, average_score : 19.523809523809526, number of frames: 11, epsilon: 0.810157377815473
episode: 42, score: 9.0, average_score : 19.27906976744186, number of frames: 9, epsilon: 0.8061065909263957
episode: 43, score: 31.0, average_score : 19.545454545454547, number of frames: 31, epsilon: 0.8020760579717637
episode: 44, score: 10.0, average_score : 19.333333333333332, number of frames: 10, epsilon: 0.798065677681905
episode: 45, score: 17.0, average_score : 19.282608695652176, number of frames: 17, epsilon: 0.7940753492934954
episode: 46, score: 12.0, average_score : 19.127659574468087, number of frames: 12, epsilon: 0.7901049725470279
episode: 47, score: 10.0, average_score : 18.9375, number of frames: 10, epsilon: 0.7861544476842928
episode: 48, score: 18.0, average_score : 18.918367346938776, number of frames: 18, epsilon: 0.7822236754458713
episode: 49, score: 28.0, average_score : 19.1, number of frames: 28, epsilon: 0.778312557068642
episode: 50, score: 9.0, average_score : 18.901960784313726, number of frames: 9, epsilon: 0.7744209942832988
episode: 51, score: 15.0, average_score : 18.826923076923077, number of frames: 15, epsilon: 0.7705488893118823
episode: 52, score: 11.0, average_score : 18.67924528301887, number of frames: 11, epsilon: 0.7666961448653229
episode: 53, score: 15.0, average_score : 18.61111111111111, number of frames: 15, epsilon: 0.7628626641409962
episode: 54, score: 20.0, average_score : 18.636363636363637, number of frames: 20, epsilon: 0.7590483508202912
episode: 55, score: 17.0, average_score : 18.607142857142858, number of frames: 17, epsilon: 0.7552531090661897
episode: 56, score: 13.0, average_score : 18.50877192982456, number of frames: 13, epsilon: 0.7514768435208588
episode: 57, score: 12.0, average_score : 18.396551724137932, number of frames: 12, epsilon: 0.7477194593032545
episode: 58, score: 16.0, average_score : 18.35593220338983, number of frames: 16, epsilon: 0.7439808620067382
episode: 59, score: 19.0, average_score : 18.366666666666667, number of frames: 19, epsilon: 0.7402609576967045
episode: 60, score: 18.0, average_score : 18.360655737704917, number of frames: 18, epsilon: 0.736559652908221
episode: 61, score: 12.0, average_score : 18.258064516129032, number of frames: 12, epsilon: 0.7328768546436799
episode: 62, score: 20.0, average_score : 18.285714285714285, number of frames: 20, epsilon: 0.7292124703704616
episode: 63, score: 10.0, average_score : 18.15625, number of frames: 10, epsilon: 0.7255664080186093
episode: 64, score: 21.0, average_score : 18.2, number of frames: 21, epsilon: 0.7219385759785162
episode: 65, score: 10.0, average_score : 18.075757575757574, number of frames: 10, epsilon: 0.7183288830986236
episode: 66, score: 12.0, average_score : 17.98507462686567, number of frames: 12, epsilon: 0.7147372386831305
episode: 67, score: 12.0, average_score : 17.897058823529413, number of frames: 12, epsilon: 0.7111635524897149
episode: 68, score: 10.0, average_score : 17.782608695652176, number of frames: 10, epsilon: 0.7076077347272662
episode: 69, score: 25.0, average_score : 17.885714285714286, number of frames: 25, epsilon: 0.7040696960536299
episode: 70, score: 15.0, average_score : 17.845070422535212, number of frames: 15, epsilon: 0.7005493475733617
episode: 71, score: 12.0, average_score : 17.76388888888889, number of frames: 12, epsilon: 0.697046600835495
episode: 72, score: 13.0, average_score : 17.698630136986303, number of frames: 13, epsilon: 0.6935613678313175
episode: 73, score: 11.0, average_score : 17.60810810810811, number of frames: 11, epsilon: 0.6900935609921609
episode: 74, score: 30.0, average_score : 17.773333333333333, number of frames: 30, epsilon: 0.6866430931872001
episode: 75, score: 13.0, average_score : 17.710526315789473, number of frames: 13, epsilon: 0.6832098777212641
episode: 76, score: 12.0, average_score : 17.636363636363637, number of frames: 12, epsilon: 0.6797938283326578
episode: 77, score: 20.0, average_score : 17.666666666666668, number of frames: 20, epsilon: 0.6763948591909945
episode: 78, score: 14.0, average_score : 17.620253164556964, number of frames: 14, epsilon: 0.6730128848950395
episode: 79, score: 14.0, average_score : 17.575, number of frames: 14, epsilon: 0.6696478204705644
episode: 80, score: 9.0, average_score : 17.469135802469136, number of frames: 9, epsilon: 0.6662995813682115
episode: 81, score: 15.0, average_score : 17.4390243902439, number of frames: 15, epsilon: 0.6629680834613705
episode: 82, score: 16.0, average_score : 17.42168674698795, number of frames: 16, epsilon: 0.6596532430440636
episode: 83, score: 18.0, average_score : 17.428571428571427, number of frames: 18, epsilon: 0.6563549768288433
episode: 84, score: 13.0, average_score : 17.376470588235293, number of frames: 13, epsilon: 0.653073201944699
episode: 85, score: 16.0, average_score : 17.36046511627907, number of frames: 16, epsilon: 0.6498078359349755
episode: 86, score: 13.0, average_score : 17.310344827586206, number of frames: 13, epsilon: 0.6465587967553006
episode: 87, score: 16.0, average_score : 17.295454545454547, number of frames: 16, epsilon: 0.6433260027715241
episode: 88, score: 11.0, average_score : 17.224719101123597, number of frames: 11, epsilon: 0.6401093727576664
episode: 89, score: 14.0, average_score : 17.18888888888889, number of frames: 14, epsilon: 0.6369088258938781
episode: 90, score: 10.0, average_score : 17.10989010989011, number of frames: 10, epsilon: 0.6337242817644086
episode: 91, score: 14.0, average_score : 17.07608695652174, number of frames: 14, epsilon: 0.6305556603555866
episode: 92, score: 16.0, average_score : 17.06451612903226, number of frames: 16, epsilon: 0.6274028820538087
episode: 93, score: 13.0, average_score : 17.02127659574468, number of frames: 13, epsilon: 0.6242658676435396
episode: 94, score: 16.0, average_score : 17.010526315789473, number of frames: 16, epsilon: 0.6211445383053219
episode: 95, score: 18.0, average_score : 17.020833333333332, number of frames: 18, epsilon: 0.6180388156137953
episode: 96, score: 14.0, average_score : 16.989690721649485, number of frames: 14, epsilon: 0.6149486215357263
