Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -99.18628587230388, average_score : -99.18628587230388, number of frames: 63, epsilon: 0.998
episode: 1, score: -244.8562469243808, average_score : -172.02126639834233, number of frames: 118, epsilon: 0.996004
episode: 2, score: 4.540135492465694, average_score : -113.16746576807299, number of frames: 128, epsilon: 0.994011992
episode: 3, score: -129.89183729669764, average_score : -117.34855865022915, number of frames: 123, epsilon: 0.992023968016
episode: 4, score: -132.657961993022, average_score : -120.41043931878771, number of frames: 59, epsilon: 0.990039920079968
episode: 5, score: -266.4908156350227, average_score : -144.75716870482688, number of frames: 111, epsilon: 0.9880598402398081
episode: 6, score: -117.31545826948327, average_score : -140.83692435692066, number of frames: 125, epsilon: 0.9860837205593285
episode: 7, score: -77.02512767727308, average_score : -132.8604497719647, number of frames: 100, epsilon: 0.9841115531182099
episode: 8, score: -119.47788223638173, average_score : -131.3734978235666, number of frames: 117, epsilon: 0.9821433300119734
episode: 9, score: -103.33724852799719, average_score : -128.56987289400965, number of frames: 57, epsilon: 0.9801790433519495
episode: 10, score: -132.92815200843046, average_score : -128.96608008622974, number of frames: 67, epsilon: 0.9782186852652456
episode: 11, score: -327.47111014481345, average_score : -145.50816592444505, number of frames: 110, epsilon: 0.976262247894715
episode: 12, score: -97.2018104675484, average_score : -141.7922924277607, number of frames: 66, epsilon: 0.9743097233989256
episode: 13, score: -65.0919889571408, average_score : -136.31369932271642, number of frames: 68, epsilon: 0.9723611039521278
episode: 14, score: -123.3009159987655, average_score : -135.44618043445303, number of frames: 68, epsilon: 0.9704163817442236
episode: 15, score: -299.7730186984678, average_score : -145.71660782595393, number of frames: 115, epsilon: 0.9684755489807352
episode: 16, score: -114.38284714996175, average_score : -143.87344543324852, number of frames: 91, epsilon: 0.9665385978827737
episode: 17, score: -468.4562253822151, average_score : -161.90582209707998, number of frames: 84, epsilon: 0.9646055206870082
episode: 18, score: -26.677094819448385, average_score : -154.78852066141516, number of frames: 69, epsilon: 0.9626763096456342
episode: 19, score: -129.6763916088081, average_score : -153.5329142087848, number of frames: 78, epsilon: 0.9607509570263429
episode: 20, score: -304.9940520825893, average_score : -160.74534934563266, number of frames: 91, epsilon: 0.9588294551122902
episode: 21, score: -257.384476496114, average_score : -165.13803694338182, number of frames: 112, epsilon: 0.9569117962020657
episode: 22, score: -78.48009871985823, average_score : -161.3703004988808, number of frames: 81, epsilon: 0.9549979726096616
episode: 23, score: -273.7339946357125, average_score : -166.05212108791542, number of frames: 88, epsilon: 0.9530879766644422
episode: 24, score: -112.92872229763051, average_score : -163.92718513630405, number of frames: 113, epsilon: 0.9511818007111134
episode: 25, score: 31.625888263769273, average_score : -156.40591308245504, number of frames: 1000, epsilon: 0.9492794371096911
episode: 26, score: -155.30297392945081, average_score : -156.36506348419564, number of frames: 113, epsilon: 0.9473808782354717
episode: 27, score: -96.8482695129899, average_score : -154.2394636995097, number of frames: 89, epsilon: 0.9454861164790007
episode: 28, score: -251.17821006269224, average_score : -157.5821790913436, number of frames: 110, epsilon: 0.9435951442460427
episode: 29, score: -134.1031950858526, average_score : -156.79954629116054, number of frames: 103, epsilon: 0.9417079539575507
episode: 30, score: -316.37931312343267, average_score : -161.94728070510482, number of frames: 124, epsilon: 0.9398245380496356
episode: 31, score: -138.4248821830036, average_score : -161.2122057512892, number of frames: 136, epsilon: 0.9379448889735363
episode: 32, score: -146.03345236405772, average_score : -160.75224352743368, number of frames: 132, epsilon: 0.9360689991955893
episode: 33, score: -126.72901327302822, average_score : -159.75156028465707, number of frames: 116, epsilon: 0.9341968611971981
episode: 34, score: -169.89085962824186, average_score : -160.04125455161662, number of frames: 67, epsilon: 0.9323284674748037
episode: 35, score: -266.755619948264, average_score : -163.00554247930128, number of frames: 108, epsilon: 0.930463810539854
episode: 36, score: -449.51258245960355, average_score : -170.74897599228242, number of frames: 96, epsilon: 0.9286028829187744
episode: 37, score: -97.72778993076464, average_score : -168.8273658327688, number of frames: 144, epsilon: 0.9267456771529368
episode: 38, score: -158.01935479724, average_score : -168.55023734467832, number of frames: 128, epsilon: 0.9248921857986309
episode: 39, score: -254.90756808753835, average_score : -170.7091706132498, number of frames: 86, epsilon: 0.9230424014270336
episode: 40, score: -255.44342375571375, average_score : -172.7758597142855, number of frames: 118, epsilon: 0.9211963166241796
episode: 41, score: -62.1558899820512, average_score : -170.14205091113706, number of frames: 67, epsilon: 0.9193539239909312
episode: 42, score: -88.50540505768902, average_score : -168.24352426338245, number of frames: 70, epsilon: 0.9175152161429493
episode: 43, score: -97.16721415637393, average_score : -166.62815357913226, number of frames: 89, epsilon: 0.9156801857106633
episode: 44, score: -222.41392458681543, average_score : -167.867837379303, number of frames: 93, epsilon: 0.913848825339242
episode: 45, score: -54.228552904203376, average_score : -165.39741815158345, number of frames: 70, epsilon: 0.9120211276885636
episode: 46, score: -163.00323698826756, average_score : -165.34647812683207, number of frames: 92, epsilon: 0.9101970854331864
episode: 47, score: -87.97904284483766, average_score : -163.73465655845715, number of frames: 98, epsilon: 0.9083766912623201
episode: 48, score: -88.51749710786025, average_score : -162.19961248803682, number of frames: 81, epsilon: 0.9065599378797955
episode: 49, score: -124.960649930388, average_score : -161.45483323688384, number of frames: 64, epsilon: 0.9047468180040359
episode: 50, score: -90.39848292923874, average_score : -160.0615714661457, number of frames: 72, epsilon: 0.9029373243680279
