Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -130.5465350461496, average_score : -130.5465350461496, number of frames: 77, epsilon: 0.995
episode: 1, score: -244.2334261503752, average_score : -187.3899805982624, number of frames: 91, epsilon: 0.990025
episode: 2, score: -171.3550160535465, average_score : -182.04499241669043, number of frames: 107, epsilon: 0.985074875
episode: 3, score: -196.13411747735304, average_score : -185.56727368185608, number of frames: 73, epsilon: 0.9801495006250001
episode: 4, score: -89.626100468752, average_score : -166.37903903923527, number of frames: 75, epsilon: 0.9752487531218751
episode: 5, score: -69.97430412676508, average_score : -150.31158322049023, number of frames: 71, epsilon: 0.9703725093562657
episode: 6, score: -302.0020272555687, average_score : -171.98164665407288, number of frames: 77, epsilon: 0.9655206468094844
episode: 7, score: -248.00357098942328, average_score : -181.48438719599167, number of frames: 93, epsilon: 0.960693043575437
episode: 8, score: -95.80884670199944, average_score : -171.9648826966592, number of frames: 109, epsilon: 0.9558895783575597
episode: 9, score: -79.4538490268869, average_score : -162.71377932968198, number of frames: 70, epsilon: 0.9511101304657719
episode: 10, score: -189.90257012417499, average_score : -165.1854875837268, number of frames: 124, epsilon: 0.946354579813443
episode: 11, score: -81.35398422463746, average_score : -158.19952897046934, number of frames: 78, epsilon: 0.9416228069143757
episode: 12, score: -257.65131511159194, average_score : -165.84966636594032, number of frames: 119, epsilon: 0.9369146928798039
episode: 13, score: -170.44198542662735, average_score : -166.1776891559894, number of frames: 77, epsilon: 0.9322301194154049
episode: 14, score: -418.26659784368036, average_score : -182.9836164018355, number of frames: 89, epsilon: 0.9275689688183278
episode: 15, score: -88.3580926381899, average_score : -177.06952116660761, number of frames: 86, epsilon: 0.9229311239742362
episode: 16, score: -259.3006656815436, average_score : -181.90664731454504, number of frames: 147, epsilon: 0.918316468354365
episode: 17, score: -279.0939041918655, average_score : -187.30593936328506, number of frames: 99, epsilon: 0.9137248860125932
episode: 18, score: -187.46508081887566, average_score : -187.3143152293688, number of frames: 78, epsilon: 0.9091562615825302
episode: 19, score: -85.6328812682791, average_score : -182.2302435313143, number of frames: 72, epsilon: 0.9046104802746175
episode: 20, score: -94.53414377664029, average_score : -178.05423878109173, number of frames: 87, epsilon: 0.9000874278732445
episode: 21, score: -128.50309460393584, average_score : -175.80191404576647, number of frames: 101, epsilon: 0.8955869907338783
episode: 22, score: -347.7295101973061, average_score : -183.27702692192037, number of frames: 100, epsilon: 0.8911090557802088
episode: 23, score: -211.2375225264766, average_score : -184.44204757211017, number of frames: 85, epsilon: 0.8866535105013078
episode: 24, score: -53.24977467217119, average_score : -179.1943566561126, number of frames: 64, epsilon: 0.8822202429488013
episode: 25, score: -181.83535192690186, average_score : -179.29593339729684, number of frames: 83, epsilon: 0.8778091417340573
episode: 26, score: -42.646309483942545, average_score : -174.23483621532074, number of frames: 66, epsilon: 0.8734200960253871
episode: 27, score: -110.3939277032531, average_score : -171.9548037684612, number of frames: 100, epsilon: 0.8690529955452602
episode: 28, score: -164.59470820964083, average_score : -171.70100736988118, number of frames: 140, epsilon: 0.8647077305675338
episode: 29, score: -113.98085854648328, average_score : -169.77700240910127, number of frames: 142, epsilon: 0.8603841919146962
episode: 30, score: -117.01305390296093, average_score : -168.07493955406446, number of frames: 67, epsilon: 0.8560822709551227
episode: 31, score: -233.56081701287806, average_score : -170.12137322465236, number of frames: 93, epsilon: 0.851801859600347
episode: 32, score: -86.96911853843513, average_score : -167.60160793113064, number of frames: 102, epsilon: 0.8475428503023453
episode: 33, score: -37.61760937853926, average_score : -163.77854915017204, number of frames: 76, epsilon: 0.8433051360508336
episode: 34, score: -286.07801963770504, average_score : -167.27281973553013, number of frames: 137, epsilon: 0.8390886103705794
episode: 35, score: -302.0355984312173, average_score : -171.0162302548548, number of frames: 133, epsilon: 0.8348931673187264
episode: 36, score: -97.8065691642986, average_score : -169.03759076592084, number of frames: 79, epsilon: 0.8307187014821328
episode: 37, score: -158.7111022400142, average_score : -168.76584106787067, number of frames: 94, epsilon: 0.8265651079747222
episode: 38, score: -42.86205138806881, average_score : -165.53753876838857, number of frames: 76, epsilon: 0.8224322824348486
episode: 39, score: -101.22624363611351, average_score : -163.9297563900817, number of frames: 176, epsilon: 0.8183201210226743
episode: 40, score: -241.3862725521378, average_score : -165.81893971110745, number of frames: 202, epsilon: 0.8142285204175609
episode: 41, score: -335.4811119993006, average_score : -169.85851524177875, number of frames: 114, epsilon: 0.810157377815473
episode: 42, score: -192.91853032851563, average_score : -170.39479466240053, number of frames: 153, epsilon: 0.8061065909263957
episode: 43, score: -142.7567840168293, average_score : -169.76665805681935, number of frames: 116, epsilon: 0.8020760579717637
episode: 44, score: -159.78322926188864, average_score : -169.54480408359868, number of frames: 114, epsilon: 0.798065677681905
episode: 45, score: -107.3210107372925, average_score : -168.19211292389636, number of frames: 70, epsilon: 0.7940753492934954
episode: 46, score: -127.70610731417034, average_score : -167.33070854922136, number of frames: 135, epsilon: 0.7901049725470279
episode: 47, score: -191.46357545643008, average_score : -167.83347660978816, number of frames: 97, epsilon: 0.7861544476842928
episode: 48, score: -106.11222091357413, average_score : -166.5738591466001, number of frames: 72, epsilon: 0.7822236754458713
episode: 49, score: -197.2212989443358, average_score : -167.18680794255485, number of frames: 105, epsilon: 0.778312557068642
episode: 50, score: -129.1892010218994, average_score : -166.44175682646357, number of frames: 77, epsilon: 0.7744209942832988
episode: 51, score: -76.8103648904144, average_score : -164.71807621230877, number of frames: 122, epsilon: 0.7705488893118823
episode: 52, score: -30.525584101017543, average_score : -162.18614239888817, number of frames: 105, epsilon: 0.7666961448653229
episode: 53, score: -91.7213620983381, average_score : -160.8812390599891, number of frames: 108, epsilon: 0.7628626641409962
episode: 54, score: -57.741949159275755, average_score : -159.0059792436125, number of frames: 108, epsilon: 0.7590483508202912
episode: 55, score: -127.69807470984642, average_score : -158.44690951979524, number of frames: 120, epsilon: 0.7552531090661897
episode: 56, score: -254.68662968844865, average_score : -160.13532566310494, number of frames: 131, epsilon: 0.7514768435208588
episode: 57, score: -155.06514200876367, average_score : -160.04790870354734, number of frames: 86, epsilon: 0.7477194593032545
episode: 58, score: -97.68656829256271, average_score : -158.99093683217473, number of frames: 131, epsilon: 0.7439808620067382
episode: 59, score: -157.57429486851686, average_score : -158.9673261327804, number of frames: 103, epsilon: 0.7402609576967045
episode: 60, score: -150.80673345775784, average_score : -158.83354592499316, number of frames: 99, epsilon: 0.736559652908221
episode: 61, score: -62.71041347845821, average_score : -157.2831728210168, number of frames: 136, epsilon: 0.7328768546436799
episode: 62, score: -252.53766615014308, average_score : -158.7951489056061, number of frames: 122, epsilon: 0.7292124703704616
episode: 63, score: -236.8392866032384, average_score : -160.01458855713162, number of frames: 251, epsilon: 0.7255664080186093
episode: 64, score: -97.74107417911142, average_score : -159.05653448977748, number of frames: 130, epsilon: 0.7219385759785162
episode: 65, score: -114.40664523969453, average_score : -158.38002101629135, number of frames: 235, epsilon: 0.7183288830986236
episode: 66, score: -120.7745359364429, average_score : -157.81874511957722, number of frames: 96, epsilon: 0.7147372386831305
episode: 67, score: -64.85083410774115, average_score : -156.45156995763844, number of frames: 126, epsilon: 0.7111635524897149
episode: 68, score: -133.91971533785534, average_score : -156.12502133996043, number of frames: 169, epsilon: 0.7076077347272662
episode: 69, score: -33.42192247933649, average_score : -154.3721199276658, number of frames: 87, epsilon: 0.7040696960536299
episode: 70, score: -95.79714233626476, average_score : -153.54712024327986, number of frames: 187, epsilon: 0.7005493475733617
episode: 71, score: -99.69355675302663, average_score : -152.799154083693, number of frames: 139, epsilon: 0.697046600835495
episode: 72, score: -143.87354950707714, average_score : -152.67688552784895, number of frames: 84, epsilon: 0.6935613678313175
episode: 73, score: -131.81183160177932, average_score : -152.3949253396588, number of frames: 83, epsilon: 0.6900935609921609
episode: 74, score: -115.12757659117436, average_score : -151.89802735634566, number of frames: 148, epsilon: 0.6866430931872001
episode: 75, score: -58.326407011484484, average_score : -150.66682182549224, number of frames: 86, epsilon: 0.6832098777212641
episode: 76, score: -124.986647608152, average_score : -150.33331306942287, number of frames: 179, epsilon: 0.6797938283326578
episode: 77, score: -204.60554662194843, average_score : -151.02911093548087, number of frames: 101, epsilon: 0.6763948591909945
episode: 78, score: -146.79207275423346, average_score : -150.97547754078155, number of frames: 97, epsilon: 0.6730128848950395
episode: 79, score: -184.73684766892163, average_score : -151.39749466738334, number of frames: 141, epsilon: 0.6696478204705644
episode: 80, score: -185.40047882596906, average_score : -151.81728459526713, number of frames: 116, epsilon: 0.6662995813682115
episode: 81, score: -20.05992221623241, average_score : -150.2104874930838, number of frames: 96, epsilon: 0.6629680834613705
episode: 82, score: -225.89099703674435, average_score : -151.1223008610797, number of frames: 227, epsilon: 0.6596532430440636
episode: 83, score: 2.7072072900864015, average_score : -149.29099719261345, number of frames: 142, epsilon: 0.6563549768288433
episode: 84, score: -142.50569209364397, average_score : -149.21117007380204, number of frames: 128, epsilon: 0.653073201944699
episode: 85, score: -228.6110903400745, average_score : -150.13442496061916, number of frames: 146, epsilon: 0.6498078359349755
episode: 86, score: -304.3508618142193, average_score : -151.90702768307432, number of frames: 132, epsilon: 0.6465587967553006
episode: 87, score: -116.56879016922863, average_score : -151.50545680223513, number of frames: 170, epsilon: 0.6433260027715241
