Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -115.22540517114716, average_score : -115.22540517114716, number of frames: 98, epsilon: 0.995
episode: 1, score: -256.68067092777653, average_score : -185.95303804946184, number of frames: 70, epsilon: 0.990025
episode: 2, score: -255.3217371551054, average_score : -209.07593775134305, number of frames: 72, epsilon: 0.985074875
episode: 3, score: -309.2200929886891, average_score : -234.11197656067955, number of frames: 173, epsilon: 0.9801495006250001
episode: 4, score: -526.9136494655944, average_score : -292.67231114166253, number of frames: 120, epsilon: 0.9752487531218751
episode: 5, score: -302.65242815748263, average_score : -294.3356639776325, number of frames: 103, epsilon: 0.9703725093562657
episode: 6, score: -168.1236011840694, average_score : -276.3053692928378, number of frames: 127, epsilon: 0.9655206468094844
episode: 7, score: -132.87269409566318, average_score : -258.376284893191, number of frames: 105, epsilon: 0.960693043575437
episode: 8, score: -94.3263073891573, average_score : -240.148509614965, number of frames: 85, epsilon: 0.9558895783575597
episode: 9, score: -325.1262047490389, average_score : -248.6462791283724, number of frames: 107, epsilon: 0.9511101304657719
episode: 10, score: -155.74934499269216, average_score : -240.20110329785604, number of frames: 109, epsilon: 0.946354579813443
episode: 11, score: -87.8662577170851, average_score : -227.5065328327918, number of frames: 70, epsilon: 0.9416228069143757
episode: 12, score: -304.20919588670415, average_score : -233.40673768309276, number of frames: 106, epsilon: 0.9369146928798039
episode: 13, score: -171.0944413348475, average_score : -228.9558593725038, number of frames: 106, epsilon: 0.9322301194154049
episode: 14, score: -156.15897205657728, average_score : -224.10273355144201, number of frames: 107, epsilon: 0.9275689688183278
episode: 15, score: -410.6885480798092, average_score : -235.76434695946494, number of frames: 122, epsilon: 0.9229311239742362
episode: 16, score: -157.4548842134575, average_score : -231.15790797440567, number of frames: 61, epsilon: 0.918316468354365
episode: 17, score: -249.40876537470464, average_score : -232.1718444966445, number of frames: 114, epsilon: 0.9137248860125932
episode: 18, score: -260.7339271187918, average_score : -233.6751120030733, number of frames: 85, epsilon: 0.9091562615825302
episode: 19, score: -208.9930932158362, average_score : -232.44101106371144, number of frames: 67, epsilon: 0.9046104802746175
episode: 20, score: -340.38024821271387, average_score : -237.58097473747347, number of frames: 92, epsilon: 0.9000874278732445
episode: 21, score: -109.02223698743998, average_score : -231.73739574883558, number of frames: 106, epsilon: 0.8955869907338783
episode: 22, score: 0.2656579045250851, average_score : -221.65030645955903, number of frames: 107, epsilon: 0.8911090557802088
episode: 23, score: -112.47136377748717, average_score : -217.10118384780608, number of frames: 98, epsilon: 0.8866535105013078
episode: 24, score: -22.521383969338487, average_score : -209.3179918526674, number of frames: 108, epsilon: 0.8822202429488013
episode: 25, score: -149.35242641208583, average_score : -207.01162395110657, number of frames: 91, epsilon: 0.8778091417340573
episode: 26, score: -282.768179691006, average_score : -209.8174223118436, number of frames: 126, epsilon: 0.8734200960253871
episode: 27, score: -315.9766782686913, average_score : -213.60882431030242, number of frames: 129, epsilon: 0.8690529955452602
episode: 28, score: -166.55424402127989, average_score : -211.9862525761982, number of frames: 95, epsilon: 0.8647077305675338
episode: 29, score: -123.105640895835, average_score : -209.02356552018608, number of frames: 90, epsilon: 0.8603841919146962
episode: 30, score: -98.15448359172673, average_score : -205.44714352249386, number of frames: 87, epsilon: 0.8560822709551227
episode: 31, score: -181.79119186143967, average_score : -204.7078950330859, number of frames: 113, epsilon: 0.851801859600347
episode: 32, score: -212.66611166769962, average_score : -204.94905311292268, number of frames: 121, epsilon: 0.8475428503023453
episode: 33, score: -198.6378083107635, average_score : -204.76342826580034, number of frames: 76, epsilon: 0.8433051360508336
episode: 34, score: -144.65416834125773, average_score : -203.04602083938485, number of frames: 140, epsilon: 0.8390886103705794
episode: 35, score: -225.49835264468214, average_score : -203.66969672286533, number of frames: 133, epsilon: 0.8348931673187264
episode: 36, score: -90.69475448574295, average_score : -200.6163199056458, number of frames: 131, epsilon: 0.8307187014821328
episode: 37, score: -122.06782580137015, average_score : -198.54925427132278, number of frames: 76, epsilon: 0.8265651079747222
episode: 38, score: -60.05415563923986, average_score : -194.99809789614116, number of frames: 80, epsilon: 0.8224322824348486
episode: 39, score: -135.28882507973535, average_score : -193.505366075731, number of frames: 76, epsilon: 0.8183201210226743
episode: 40, score: -94.57602220133231, average_score : -191.09245524952615, number of frames: 104, epsilon: 0.8142285204175609
episode: 41, score: -196.02651086353967, average_score : -191.20993276414552, number of frames: 110, epsilon: 0.810157377815473
episode: 42, score: -133.56780030451972, average_score : -189.86941805578212, number of frames: 87, epsilon: 0.8061065909263957
episode: 43, score: -138.3532737367609, average_score : -188.69859659398617, number of frames: 73, epsilon: 0.8020760579717637
episode: 44, score: -193.59558786959963, average_score : -188.80741862233316, number of frames: 98, epsilon: 0.798065677681905
episode: 45, score: -151.88757203770308, average_score : -188.00481326179772, number of frames: 110, epsilon: 0.7940753492934954
episode: 46, score: -210.2210871764189, average_score : -188.47749994083222, number of frames: 146, epsilon: 0.7901049725470279
episode: 47, score: -78.28878977209246, average_score : -186.1819018123168, number of frames: 102, epsilon: 0.7861544476842928
episode: 48, score: -357.78309105730153, average_score : -189.6839668989491, number of frames: 134, epsilon: 0.7822236754458713
episode: 49, score: -258.1200417359482, average_score : -191.0526883956891, number of frames: 145, epsilon: 0.778312557068642
episode: 50, score: -323.5602962920992, average_score : -193.65087678581477, number of frames: 132, epsilon: 0.7744209942832988
episode: 51, score: -205.0966674852662, average_score : -193.87098814541963, number of frames: 106, epsilon: 0.7705488893118823
episode: 52, score: -232.68075839527262, average_score : -194.60324796145457, number of frames: 86, epsilon: 0.7666961448653229
