Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -414.6570155184504, average_score : -414.6570155184504, number of frames: 91, epsilon: 0.998
episode: 1, score: -419.5212540021643, average_score : -417.0891347603074, number of frames: 98, epsilon: 0.996004
episode: 2, score: -329.2455372975294, average_score : -387.80793560604803, number of frames: 86, epsilon: 0.994011992
episode: 3, score: -113.92834775728481, average_score : -319.33803864385726, number of frames: 114, epsilon: 0.992023968016
episode: 4, score: -343.0198974170378, average_score : -324.07441039849334, number of frames: 94, epsilon: 0.990039920079968
episode: 5, score: -194.61898621755688, average_score : -302.4985063683373, number of frames: 131, epsilon: 0.9880598402398081
episode: 6, score: -99.2581295697346, average_score : -273.4641668256798, number of frames: 86, epsilon: 0.9860837205593285
episode: 7, score: -64.34352326347327, average_score : -247.32408638040394, number of frames: 64, epsilon: 0.9841115531182099
episode: 8, score: -126.53943984801016, average_score : -233.90357009902684, number of frames: 80, epsilon: 0.9821433300119734
episode: 9, score: -104.79027221516466, average_score : -220.99224031064063, number of frames: 83, epsilon: 0.9801790433519495
episode: 10, score: -160.51032296340406, average_score : -215.4938841881646, number of frames: 62, epsilon: 0.9782186852652456
episode: 11, score: -76.21897135067243, average_score : -203.8876414517069, number of frames: 75, epsilon: 0.976262247894715
episode: 12, score: -57.74601737038277, average_score : -192.6459780608358, number of frames: 69, epsilon: 0.9743097233989256
episode: 13, score: -175.38886890788118, average_score : -191.41332740705334, number of frames: 112, epsilon: 0.9723611039521278
episode: 14, score: -296.7012415711206, average_score : -198.43252168465781, number of frames: 82, epsilon: 0.9704163817442236
episode: 15, score: -193.46401224444355, average_score : -198.12198984464442, number of frames: 103, epsilon: 0.9684755489807352
episode: 16, score: -123.49267778149056, average_score : -193.73203031151775, number of frames: 112, epsilon: 0.9665385978827737
episode: 17, score: -110.42558726778155, average_score : -189.10389458686572, number of frames: 74, epsilon: 0.9646055206870082
episode: 18, score: -99.17848416010553, average_score : -184.3709782486152, number of frames: 63, epsilon: 0.9626763096456342
episode: 19, score: -134.8717685711217, average_score : -181.89601776474052, number of frames: 85, epsilon: 0.9607509570263429
episode: 20, score: -105.17183147890447, average_score : -178.2424850844626, number of frames: 62, epsilon: 0.9588294551122902
episode: 21, score: -134.38438705360556, average_score : -176.2489351739691, number of frames: 95, epsilon: 0.9569117962020657
episode: 22, score: -147.60816709314463, average_score : -175.0036843878463, number of frames: 77, epsilon: 0.9549979726096616
episode: 23, score: -187.28345594996034, average_score : -175.5153415362677, number of frames: 132, epsilon: 0.9530879766644422
episode: 24, score: -443.3094074225485, average_score : -186.22710417171893, number of frames: 87, epsilon: 0.9511818007111134
episode: 25, score: -176.30227609384582, average_score : -185.84538001487766, number of frames: 66, epsilon: 0.9492794371096911
episode: 26, score: -79.6918125889446, average_score : -181.91376640650975, number of frames: 69, epsilon: 0.9473808782354717
episode: 27, score: -96.03166279479724, average_score : -178.84654842037713, number of frames: 87, epsilon: 0.9454861164790007
episode: 28, score: -235.8842190116644, average_score : -180.81336464766292, number of frames: 107, epsilon: 0.9435951442460427
episode: 29, score: -264.5967158201617, average_score : -183.60614302007954, number of frames: 97, epsilon: 0.9417079539575507
episode: 30, score: -322.79524755173975, average_score : -188.09611413400407, number of frames: 83, epsilon: 0.9398245380496356
episode: 31, score: -201.73580630208784, average_score : -188.52235451425673, number of frames: 111, epsilon: 0.9379448889735363
episode: 32, score: -240.6877741538431, average_score : -190.1031248063654, number of frames: 101, epsilon: 0.9360689991955893
episode: 33, score: -145.6362059442678, average_score : -188.79527425159785, number of frames: 115, epsilon: 0.9341968611971981
episode: 34, score: -291.5957752849496, average_score : -191.73243142397934, number of frames: 132, epsilon: 0.9323284674748037
episode: 35, score: -207.73414895176555, average_score : -192.17692357752895, number of frames: 99, epsilon: 0.930463810539854
episode: 36, score: -157.14887001295486, average_score : -191.23021942713504, number of frames: 96, epsilon: 0.9286028829187744
episode: 37, score: -185.6454690235599, average_score : -191.0832523112515, number of frames: 77, epsilon: 0.9267456771529368
episode: 38, score: -112.23406546302611, average_score : -189.0614782895021, number of frames: 114, epsilon: 0.9248921857986309
episode: 39, score: -154.01722727962013, average_score : -188.18537201425505, number of frames: 91, epsilon: 0.9230424014270336
episode: 40, score: -194.66817932787697, average_score : -188.34348926580682, number of frames: 118, epsilon: 0.9211963166241796
episode: 41, score: -86.21768613266453, average_score : -185.91192252454152, number of frames: 89, epsilon: 0.9193539239909312
episode: 42, score: -298.2004622822967, average_score : -188.52328391425675, number of frames: 90, epsilon: 0.9175152161429493
episode: 43, score: -127.06527839185499, average_score : -187.12651106147493, number of frames: 104, epsilon: 0.9156801857106633
episode: 44, score: -194.5564474093357, average_score : -187.29162075809404, number of frames: 84, epsilon: 0.913848825339242
episode: 45, score: -454.75231442544225, average_score : -193.10598366390596, number of frames: 106, epsilon: 0.9120211276885636
episode: 46, score: -282.09298970874266, average_score : -194.9993242180514, number of frames: 101, epsilon: 0.9101970854331864
episode: 47, score: -159.9926192206595, average_score : -194.27001786393907, number of frames: 67, epsilon: 0.9083766912623201
episode: 48, score: -84.2292425368503, average_score : -192.02428775522299, number of frames: 95, epsilon: 0.9065599378797955
episode: 49, score: -111.47924716815457, average_score : -190.4133869434816, number of frames: 66, epsilon: 0.9047468180040359
episode: 50, score: -239.9697794759714, average_score : -191.38508091470692, number of frames: 104, epsilon: 0.9029373243680279
episode: 51, score: -528.3903408745552, average_score : -197.86595129855016, number of frames: 115, epsilon: 0.9011314497192918
episode: 52, score: -187.82899600001372, average_score : -197.6765747834834, number of frames: 111, epsilon: 0.8993291868198532
episode: 53, score: -54.98622965187414, average_score : -195.03416098474992, number of frames: 81, epsilon: 0.8975305284462135
episode: 54, score: -410.7807274429247, average_score : -198.956825829444, number of frames: 119, epsilon: 0.8957354673893211
episode: 55, score: -326.06821153603426, average_score : -201.22667200277596, number of frames: 92, epsilon: 0.8939439964545425
