Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -252.6375609472996, average_score : -252.6375609472996, number of frames: 100, epsilon: 0.998
episode: 1, score: -133.845666679881, average_score : -193.24161381359028, number of frames: 115, epsilon: 0.996004
episode: 2, score: -404.4168135473409, average_score : -263.6333470581738, number of frames: 79, epsilon: 0.994011992
episode: 3, score: -296.43608100000733, average_score : -271.8340305436322, number of frames: 115, epsilon: 0.992023968016
episode: 4, score: -208.41144265115258, average_score : -259.1495129651363, number of frames: 87, epsilon: 0.990039920079968
episode: 5, score: -93.70753743265574, average_score : -231.57585037638952, number of frames: 79, epsilon: 0.9880598402398081
episode: 6, score: -137.8735949652446, average_score : -218.1898138890831, number of frames: 63, epsilon: 0.9860837205593285
episode: 7, score: -199.22779613021396, average_score : -215.81956166922447, number of frames: 119, epsilon: 0.9841115531182099
episode: 8, score: -257.2145165555928, average_score : -220.41900110104316, number of frames: 132, epsilon: 0.9821433300119734
episode: 9, score: -66.57505502971581, average_score : -205.03460649391045, number of frames: 61, epsilon: 0.9801790433519495
episode: 10, score: -145.29571176458165, average_score : -199.60379788215326, number of frames: 93, epsilon: 0.9782186852652456
episode: 11, score: -8.29236878273015, average_score : -183.66117879053468, number of frames: 103, epsilon: 0.976262247894715
episode: 12, score: -368.36968141652835, average_score : -197.86952514638034, number of frames: 127, epsilon: 0.9743097233989256
episode: 13, score: -376.25883913368426, average_score : -210.61161900261635, number of frames: 104, epsilon: 0.9723611039521278
episode: 14, score: -88.52624396758885, average_score : -202.4725940002812, number of frames: 85, epsilon: 0.9704163817442236
episode: 15, score: -339.57487480610627, average_score : -211.04148655064523, number of frames: 81, epsilon: 0.9684755489807352
episode: 16, score: -187.40217392064727, average_score : -209.65093874888066, number of frames: 137, epsilon: 0.9665385978827737
episode: 17, score: -109.40300884379299, average_score : -204.0816093097091, number of frames: 91, epsilon: 0.9646055206870082
episode: 18, score: -329.11890864168436, average_score : -210.6625198008657, number of frames: 112, epsilon: 0.9626763096456342
episode: 19, score: -213.70785976627917, average_score : -210.81478679913639, number of frames: 142, epsilon: 0.9607509570263429
episode: 20, score: -368.51491715249495, average_score : -218.32431681596296, number of frames: 123, epsilon: 0.9588294551122902
episode: 21, score: -87.64843781984777, average_score : -212.38450413432136, number of frames: 64, epsilon: 0.9569117962020657
episode: 22, score: -141.7718568410807, average_score : -209.31438903461526, number of frames: 73, epsilon: 0.9549979726096616
episode: 23, score: -88.29056248337244, average_score : -204.27172959498014, number of frames: 59, epsilon: 0.9530879766644422
episode: 24, score: -134.9667505172422, average_score : -201.49953043187062, number of frames: 118, epsilon: 0.9511818007111134
episode: 25, score: -73.918684141521, average_score : -196.59257480531872, number of frames: 73, epsilon: 0.9492794371096911
episode: 26, score: -131.32886104888996, average_score : -194.17540022174728, number of frames: 94, epsilon: 0.9473808782354717
episode: 27, score: -12.007563951701215, average_score : -187.66940606924564, number of frames: 82, epsilon: 0.9454861164790007
episode: 28, score: -108.51889490381957, average_score : -184.94007809802403, number of frames: 71, epsilon: 0.9435951442460427
episode: 29, score: -367.08769492482395, average_score : -191.01166532558403, number of frames: 93, epsilon: 0.9417079539575507
episode: 30, score: -224.87234905871168, average_score : -192.10394544600751, number of frames: 63, epsilon: 0.9398245380496356
episode: 31, score: -86.57040058657353, average_score : -188.8060221691502, number of frames: 63, epsilon: 0.9379448889735363
episode: 32, score: -154.98608862810147, average_score : -187.78117569820932, number of frames: 116, epsilon: 0.9360689991955893
episode: 33, score: -362.97594230111787, average_score : -192.93396295123605, number of frames: 125, epsilon: 0.9341968611971981
episode: 34, score: -107.91666104510949, average_score : -190.50489718248957, number of frames: 88, epsilon: 0.9323284674748037
episode: 35, score: -136.58195245068964, average_score : -189.00703760660625, number of frames: 105, epsilon: 0.930463810539854
episode: 36, score: -246.70991269833766, average_score : -190.56657477124764, number of frames: 139, epsilon: 0.9286028829187744
episode: 37, score: -85.81090758148885, average_score : -187.80984668730662, number of frames: 62, epsilon: 0.9267456771529368
episode: 38, score: -108.03617069188046, average_score : -185.76436781562902, number of frames: 78, epsilon: 0.9248921857986309
episode: 39, score: -444.0663124093682, average_score : -192.2219164304725, number of frames: 110, epsilon: 0.9230424014270336
episode: 40, score: -261.035787337368, average_score : -193.9003035257626, number of frames: 109, epsilon: 0.9211963166241796
episode: 41, score: -182.99072535627175, average_score : -193.64055166458425, number of frames: 171, epsilon: 0.9193539239909312
episode: 42, score: -85.90008542265628, average_score : -191.1349594263999, number of frames: 70, epsilon: 0.9175152161429493
episode: 43, score: -167.06514578642043, average_score : -190.58791820730946, number of frames: 108, epsilon: 0.9156801857106633
episode: 44, score: -365.62950825682884, average_score : -194.47773131952098, number of frames: 127, epsilon: 0.913848825339242
episode: 45, score: -73.53682214012403, average_score : -191.84858111996888, number of frames: 120, epsilon: 0.9120211276885636
episode: 46, score: -112.93180711672915, average_score : -190.1695008220276, number of frames: 128, epsilon: 0.9101970854331864
episode: 47, score: -49.5740044774647, average_score : -187.24042798151592, number of frames: 109, epsilon: 0.9083766912623201
episode: 48, score: -60.45887852240489, average_score : -184.65304942112587, number of frames: 99, epsilon: 0.9065599378797955
episode: 49, score: -140.0196728782197, average_score : -183.76038189026775, number of frames: 103, epsilon: 0.9047468180040359
episode: 50, score: -238.0178335425428, average_score : -184.82425349129275, number of frames: 136, epsilon: 0.9029373243680279
episode: 51, score: -302.47970380201446, average_score : -187.0868583049605, number of frames: 114, epsilon: 0.9011314497192918
episode: 52, score: -94.49846259930317, average_score : -185.3399074425896, number of frames: 69, epsilon: 0.8993291868198532
episode: 53, score: -106.52011675552873, average_score : -183.8802816891255, number of frames: 79, epsilon: 0.8975305284462135
episode: 54, score: -112.77761760982561, average_score : -182.58750597859276, number of frames: 114, epsilon: 0.8957354673893211
episode: 55, score: -83.32728026644259, average_score : -180.81500194801862, number of frames: 93, epsilon: 0.8939439964545425
episode: 56, score: -161.34490789411387, average_score : -180.4734213505817, number of frames: 71, epsilon: 0.8921561084616334
episode: 57, score: -374.9899507797593, average_score : -183.82715461660203, number of frames: 138, epsilon: 0.8903717962447101
episode: 58, score: -170.86042828863907, average_score : -183.60737959409417, number of frames: 129, epsilon: 0.8885910526522206
episode: 59, score: -135.06177270443936, average_score : -182.79828614593325, number of frames: 96, epsilon: 0.8868138705469162
episode: 60, score: -87.98523767875984, average_score : -181.2439738759796, number of frames: 67, epsilon: 0.8850402428058224
episode: 61, score: -164.42595296587245, average_score : -180.97271547420368, number of frames: 90, epsilon: 0.8832701623202107
episode: 62, score: -135.54353028367302, average_score : -180.2516172965762, number of frames: 131, epsilon: 0.8815036219955703
episode: 63, score: -89.94486836991176, average_score : -178.8405743445971, number of frames: 100, epsilon: 0.8797406147515792
episode: 64, score: -76.83532648206172, average_score : -177.2712628390196, number of frames: 106, epsilon: 0.877981133522076
episode: 65, score: -310.16236877314043, average_score : -179.28476444408207, number of frames: 97, epsilon: 0.8762251712550319
