Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000500
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -66.55547806980536, average_score : -66.55547806980536, number of frames: 66, epsilon: 0.995
episode: 1, score: -297.3207482021142, average_score : -181.93811313595978, number of frames: 81, epsilon: 0.990025
episode: 2, score: -426.2800528300846, average_score : -263.38542636733473, number of frames: 96, epsilon: 0.985074875
episode: 3, score: -58.95275996010528, average_score : -212.27725976552736, number of frames: 60, epsilon: 0.9801495006250001
episode: 4, score: -340.3059819292384, average_score : -237.88300419826956, number of frames: 116, epsilon: 0.9752487531218751
episode: 5, score: -343.65909111014383, average_score : -255.5123520169153, number of frames: 121, epsilon: 0.9703725093562657
episode: 6, score: -155.7520721160401, average_score : -241.2608834596474, number of frames: 82, epsilon: 0.9655206468094844
episode: 7, score: -161.11919772799456, average_score : -231.24317274319077, number of frames: 128, epsilon: 0.960693043575437
episode: 8, score: -306.9519767815059, average_score : -239.65526208078134, number of frames: 75, epsilon: 0.9558895783575597
episode: 9, score: -201.53444360837943, average_score : -235.84318023354118, number of frames: 87, epsilon: 0.9511101304657719
episode: 10, score: -81.18246498369142, average_score : -221.78311521082753, number of frames: 74, epsilon: 0.946354579813443
episode: 11, score: -170.3500439947372, average_score : -217.49702594282, number of frames: 97, epsilon: 0.9416228069143757
episode: 12, score: -102.58016418502461, average_score : -208.65726734606653, number of frames: 86, epsilon: 0.9369146928798039
episode: 13, score: -226.4809210868018, average_score : -209.93038547040473, number of frames: 85, epsilon: 0.9322301194154049
episode: 14, score: -4.0596441807868615, average_score : -196.20566938443022, number of frames: 80, epsilon: 0.9275689688183278
episode: 15, score: -225.55561148284588, average_score : -198.04004076558124, number of frames: 89, epsilon: 0.9229311239742362
episode: 16, score: -148.1817988515851, average_score : -195.1072030059344, number of frames: 68, epsilon: 0.918316468354365
episode: 17, score: -240.4685864695239, average_score : -197.6272798650227, number of frames: 131, epsilon: 0.9137248860125932
episode: 18, score: -66.08385901995777, average_score : -190.70394192580875, number of frames: 61, epsilon: 0.9091562615825302
episode: 19, score: -283.6281447348732, average_score : -195.35015206626198, number of frames: 108, epsilon: 0.9046104802746175
episode: 20, score: -70.6326711817187, average_score : -189.41122440509326, number of frames: 97, epsilon: 0.9000874278732445
episode: 21, score: -153.6290326488532, average_score : -187.78476114344596, number of frames: 132, epsilon: 0.8955869907338783
episode: 22, score: -213.09159436628312, average_score : -188.88505824009107, number of frames: 128, epsilon: 0.8911090557802088
episode: 23, score: -96.83471972809275, average_score : -185.04962746875785, number of frames: 68, epsilon: 0.8866535105013078
episode: 24, score: -350.21704334807464, average_score : -191.65632410393053, number of frames: 97, epsilon: 0.8822202429488013
episode: 25, score: -159.26366831655514, average_score : -190.410452727493, number of frames: 77, epsilon: 0.8778091417340573
episode: 26, score: 14.735346137347491, average_score : -182.81246017694335, number of frames: 145, epsilon: 0.8734200960253871
episode: 27, score: -68.26256236901204, average_score : -178.72139239808865, number of frames: 75, epsilon: 0.8690529955452602
episode: 28, score: -29.769981052456345, average_score : -173.58513683444616, number of frames: 129, epsilon: 0.8647077305675338
episode: 29, score: -158.26324482047426, average_score : -173.07440710064708, number of frames: 70, epsilon: 0.8603841919146962
episode: 30, score: -91.20511213723267, average_score : -170.43346210182725, number of frames: 72, epsilon: 0.8560822709551227
episode: 31, score: -120.46447165112356, average_score : -168.87193115024277, number of frames: 88, epsilon: 0.851801859600347
episode: 32, score: -96.27546451335307, average_score : -166.67203822185218, number of frames: 103, epsilon: 0.8475428503023453
episode: 33, score: -166.13269822135578, average_score : -166.6561752806611, number of frames: 143, epsilon: 0.8433051360508336
episode: 34, score: -81.24133422375104, average_score : -164.21575125046368, number of frames: 141, epsilon: 0.8390886103705794
episode: 35, score: -125.23180613956217, average_score : -163.13286388627196, number of frames: 92, epsilon: 0.8348931673187264
episode: 36, score: -43.5687708327207, average_score : -159.90140191185165, number of frames: 69, epsilon: 0.8307187014821328
episode: 37, score: -100.62879459774103, average_score : -158.34159645621716, number of frames: 129, epsilon: 0.8265651079747222
episode: 38, score: -97.74529436645268, average_score : -156.78784512058218, number of frames: 107, epsilon: 0.8224322824348486
episode: 39, score: -160.57115226341892, average_score : -156.88242779915308, number of frames: 102, epsilon: 0.8183201210226743
episode: 40, score: -64.08759479864199, average_score : -154.61913918938453, number of frames: 99, epsilon: 0.8142285204175609
episode: 41, score: -35.0813786843385, average_score : -151.77300203450247, number of frames: 80, epsilon: 0.810157377815473
episode: 42, score: -90.85700685640887, average_score : -150.35635098384913, number of frames: 131, epsilon: 0.8061065909263957
episode: 43, score: -18.438916198434868, average_score : -147.3582274659988, number of frames: 108, epsilon: 0.8020760579717637
episode: 44, score: -135.3760430055019, average_score : -147.09195670020998, number of frames: 102, epsilon: 0.798065677681905
episode: 45, score: -230.17778417791817, average_score : -148.89817034102973, number of frames: 126, epsilon: 0.7940753492934954
episode: 46, score: -166.20031637380288, average_score : -149.26630110768446, number of frames: 94, epsilon: 0.7901049725470279
episode: 47, score: -64.90359118708636, average_score : -147.50874465100537, number of frames: 148, epsilon: 0.7861544476842928
episode: 48, score: -82.12428398060908, average_score : -146.17436790262994, number of frames: 85, epsilon: 0.7822236754458713
episode: 49, score: -23.50221995480716, average_score : -143.72092494367348, number of frames: 157, epsilon: 0.778312557068642
episode: 50, score: -103.93249213224438, average_score : -142.94075959442978, number of frames: 83, epsilon: 0.7744209942832988
episode: 51, score: -6.29550737926607, average_score : -140.31296628259972, number of frames: 82, epsilon: 0.7705488893118823
episode: 52, score: -101.38850393297994, average_score : -139.57854246468236, number of frames: 117, epsilon: 0.7666961448653229
episode: 53, score: -6.469888932030145, average_score : -137.11356739926285, number of frames: 101, epsilon: 0.7628626641409962
episode: 54, score: -58.03998587330732, average_score : -135.67586591697275, number of frames: 73, epsilon: 0.7590483508202912
episode: 55, score: -98.5650304032067, average_score : -135.0131724256555, number of frames: 101, epsilon: 0.7552531090661897
episode: 56, score: -116.79034904745647, average_score : -134.69347376989762, number of frames: 85, epsilon: 0.7514768435208588
episode: 57, score: -80.73955943949208, average_score : -133.76323386764926, number of frames: 104, epsilon: 0.7477194593032545
episode: 58, score: -68.2980889037818, average_score : -132.65365513944812, number of frames: 130, epsilon: 0.7439808620067382
episode: 59, score: -114.58231626524872, average_score : -132.35246615821146, number of frames: 104, epsilon: 0.7402609576967045
episode: 60, score: -8.67333046003364, average_score : -130.32493934348724, number of frames: 144, epsilon: 0.736559652908221
episode: 61, score: -54.7512908771092, average_score : -129.10600952951341, number of frames: 73, epsilon: 0.7328768546436799
episode: 62, score: -54.174171568827916, average_score : -127.91661527616918, number of frames: 96, epsilon: 0.7292124703704616
episode: 63, score: -44.30667741931852, average_score : -126.61020999715589, number of frames: 138, epsilon: 0.7255664080186093
episode: 64, score: -26.525880927832418, average_score : -125.07045108839706, number of frames: 152, epsilon: 0.7219385759785162
episode: 65, score: -39.12521557811718, average_score : -123.76825055036252, number of frames: 144, epsilon: 0.7183288830986236
episode: 66, score: -112.44493117088444, average_score : -123.59924578350466, number of frames: 96, epsilon: 0.7147372386831305
episode: 67, score: -135.86774063744042, average_score : -123.7796648254743, number of frames: 164, epsilon: 0.7111635524897149
episode: 68, score: -81.05192147650168, average_score : -123.1604221682428, number of frames: 92, epsilon: 0.7076077347272662
episode: 69, score: -99.63152794425727, average_score : -122.82429510790014, number of frames: 111, epsilon: 0.7040696960536299
episode: 70, score: -49.17807559124857, average_score : -121.78702441048252, number of frames: 169, epsilon: 0.7005493475733617
episode: 71, score: -65.97579773918415, average_score : -121.01186848449227, number of frames: 116, epsilon: 0.697046600835495
episode: 72, score: -35.15790219950314, average_score : -119.83578675456093, number of frames: 114, epsilon: 0.6935613678313175
episode: 73, score: -76.78622695663647, average_score : -119.25403594648085, number of frames: 146, epsilon: 0.6900935609921609
episode: 74, score: -102.45550652679842, average_score : -119.03005555421842, number of frames: 62, epsilon: 0.6866430931872001
episode: 75, score: 53.3663210762328, average_score : -116.76168217750194, number of frames: 1000, epsilon: 0.6832098777212641
episode: 76, score: -80.91483142531622, average_score : -116.2961386612398, number of frames: 93, epsilon: 0.6797938283326578
episode: 77, score: -74.76987824098867, average_score : -115.763750707134, number of frames: 149, epsilon: 0.6763948591909945
episode: 78, score: -101.9726689220133, average_score : -115.58918005162614, number of frames: 150, epsilon: 0.6730128848950395
episode: 79, score: -188.00868741390065, average_score : -116.49442389365458, number of frames: 130, epsilon: 0.6696478204705644
episode: 80, score: -80.39016992609552, average_score : -116.04869236319088, number of frames: 104, epsilon: 0.6662995813682115
episode: 81, score: 21.843877225227786, average_score : -114.3670756608931, number of frames: 103, epsilon: 0.6629680834613705
episode: 82, score: -74.01693713097447, average_score : -113.88092941354468, number of frames: 87, epsilon: 0.6596532430440636
episode: 83, score: -21.95050880880754, average_score : -112.78651964444067, number of frames: 107, epsilon: 0.6563549768288433
episode: 84, score: -17.255898556609864, average_score : -111.66262998458384, number of frames: 181, epsilon: 0.653073201944699
episode: 85, score: -63.36554690172421, average_score : -111.10103599524827, number of frames: 134, epsilon: 0.6498078359349755
episode: 86, score: -34.46153169003571, average_score : -110.22012215265963, number of frames: 183, epsilon: 0.6465587967553006
episode: 87, score: -165.46151489347278, average_score : -110.84786525198702, number of frames: 108, epsilon: 0.6433260027715241
episode: 88, score: -79.50137694785275, average_score : -110.49565751823269, number of frames: 79, epsilon: 0.6401093727576664
episode: 89, score: -181.17058722760058, average_score : -111.28093451500344, number of frames: 126, epsilon: 0.6369088258938781
episode: 90, score: -71.53366294599128, average_score : -110.84415131094835, number of frames: 105, epsilon: 0.6337242817644086
episode: 91, score: -52.511513591288875, average_score : -110.21010090095206, number of frames: 174, epsilon: 0.6305556603555866
episode: 92, score: -181.06104744197384, average_score : -110.97193903580175, number of frames: 124, epsilon: 0.6274028820538087
episode: 93, score: -47.86841088983465, average_score : -110.30062490658933, number of frames: 67, epsilon: 0.6242658676435396
episode: 94, score: -89.7578059095402, average_score : -110.08438470662038, number of frames: 123, epsilon: 0.6211445383053219
episode: 95, score: 1.2317272916251767, average_score : -108.92484187330535, number of frames: 135, epsilon: 0.6180388156137953
episode: 96, score: -8.201200829172407, average_score : -107.88645382130399, number of frames: 162, epsilon: 0.6149486215357263
episode: 97, score: -70.8449073484787, average_score : -107.50847885729557, number of frames: 95, epsilon: 0.6118738784280476
episode: 98, score: -47.79712945501931, average_score : -106.90533391383823, number of frames: 164, epsilon: 0.6088145090359074
episode: 99, score: -84.53661357757622, average_score : -106.68164671047562, number of frames: 80, epsilon: 0.6057704364907278
episode: 100, score: -121.52810211978654, average_score : -107.23137295097544, number of frames: 75, epsilon: 0.6027415843082742
episode: 101, score: -57.13635786415958, average_score : -104.8295290475959, number of frames: 89, epsilon: 0.5997278763867329
episode: 102, score: -101.16668690677291, average_score : -101.57839538836276, number of frames: 177, epsilon: 0.5967292370047992
episode: 103, score: -91.90623524647559, average_score : -101.90793014122646, number of frames: 123, epsilon: 0.5937455908197752
episode: 104, score: -3.6218451714583466, average_score : -98.54108877364867, number of frames: 156, epsilon: 0.5907768628656763
episode: 105, score: -196.62130109869815, average_score : -97.0707108735342, number of frames: 182, epsilon: 0.5878229785513479
episode: 106, score: -74.00438281139563, average_score : -96.25323398048776, number of frames: 113, epsilon: 0.5848838636585911
episode: 107, score: -71.50165308394702, average_score : -95.35705853404728, number of frames: 125, epsilon: 0.5819594443402982
episode: 108, score: -90.08560167819735, average_score : -93.18839478301423, number of frames: 195, epsilon: 0.5790496471185967
episode: 109, score: -23.74959149896455, average_score : -91.41054626192008, number of frames: 110, epsilon: 0.5761543988830038
episode: 110, score: -89.95116203737683, average_score : -91.49823323245693, number of frames: 182, epsilon: 0.5732736268885887
episode: 111, score: 7.6112785319789396, average_score : -89.71862000718977, number of frames: 192, epsilon: 0.5704072587541458
episode: 112, score: -27.51843946785064, average_score : -88.96800276001802, number of frames: 94, epsilon: 0.567555222460375
episode: 113, score: -168.54068282868815, average_score : -88.38860037743689, number of frames: 98, epsilon: 0.5647174463480732
episode: 114, score: -155.7116263667301, average_score : -89.90512019929632, number of frames: 213, epsilon: 0.5618938591163328
episode: 115, score: -26.155977612334553, average_score : -87.9111238605912, number of frames: 146, epsilon: 0.5590843898207511
episode: 116, score: -29.25328871194469, average_score : -86.7218387591948, number of frames: 154, epsilon: 0.5562889678716474
episode: 117, score: -74.79465849031044, average_score : -85.06509947940265, number of frames: 126, epsilon: 0.5535075230322891
episode: 118, score: 1.4274072986233364, average_score : -84.38998681621686, number of frames: 127, epsilon: 0.5507399854171277
episode: 119, score: -5.5424895499146345, average_score : -81.60913026436725, number of frames: 266, epsilon: 0.547986285490042
episode: 120, score: -83.68981411225596, average_score : -81.73970169367263, number of frames: 132, epsilon: 0.5452463540625918
episode: 121, score: -70.12564840307049, average_score : -80.9046678512148, number of frames: 169, epsilon: 0.5425201222922789
episode: 122, score: -34.44735738542995, average_score : -79.11822548140627, number of frames: 80, epsilon: 0.5398075216808175
episode: 123, score: -36.52280393918174, average_score : -78.51510632351716, number of frames: 80, epsilon: 0.5371084840724134
episode: 124, score: -4.054071564461694, average_score : -75.05347660568104, number of frames: 195, epsilon: 0.5344229416520513
episode: 125, score: -76.39867735784317, average_score : -74.22482669609393, number of frames: 295, epsilon: 0.531750826943791
episode: 126, score: -118.66910488575272, average_score : -75.55887120632492, number of frames: 159, epsilon: 0.5290920728090721
episode: 127, score: -45.21171849958789, average_score : -75.3283627676307, number of frames: 386, epsilon: 0.5264466124450268
episode: 128, score: -11.756424517027966, average_score : -75.1482272022764, number of frames: 198, epsilon: 0.5238143793828016
episode: 129, score: -120.47445030374288, average_score : -74.77033925710909, number of frames: 186, epsilon: 0.5211953074858876
episode: 130, score: -240.1626549072721, average_score : -76.25991468480949, number of frames: 356, epsilon: 0.5185893309484582
episode: 131, score: -85.95315379735484, average_score : -75.91480150627177, number of frames: 346, epsilon: 0.5159963842937159
episode: 132, score: -240.79050361551074, average_score : -77.35995189729337, number of frames: 247, epsilon: 0.5134164023722473
episode: 133, score: -325.9263220575849, average_score : -78.95788813565565, number of frames: 606, epsilon: 0.510849320360386
episode: 134, score: -329.6069719694735, average_score : -81.44154451311289, number of frames: 383, epsilon: 0.5082950737585841
episode: 135, score: -60.79278322284722, average_score : -80.79715428394573, number of frames: 97, epsilon: 0.5057535983897912
episode: 136, score: 34.645659108897945, average_score : -80.01500998452954, number of frames: 253, epsilon: 0.5032248303978422
episode: 137, score: -28.394793272878204, average_score : -79.29266997128092, number of frames: 184, epsilon: 0.500708706245853
episode: 138, score: -42.4643108225801, average_score : -78.73986013584219, number of frames: 298, epsilon: 0.4982051627146237
episode: 139, score: -17.42160272896291, average_score : -77.30836464049763, number of frames: 141, epsilon: 0.49571413690105054
episode: 140, score: -30.235948688129003, average_score : -76.96984817939251, number of frames: 1000, epsilon: 0.4932355662165453
episode: 141, score: -11.97831483604233, average_score : -76.73881754090954, number of frames: 158, epsilon: 0.4907693883854626
episode: 142, score: 11.293271991152224, average_score : -75.71731475243394, number of frames: 100, epsilon: 0.4883155414435353
episode: 143, score: -32.15257463409601, average_score : -75.85445133679053, number of frames: 141, epsilon: 0.4858739637363176
episode: 144, score: -24.79323534342349, average_score : -74.74862326016975, number of frames: 140, epsilon: 0.483444593917636
episode: 145, score: -21.626015371344693, average_score : -72.66310557210403, number of frames: 1000, epsilon: 0.4810273709480478
episode: 146, score: -13.298466157958927, average_score : -71.13408706994558, number of frames: 127, epsilon: 0.47862223409330756
episode: 147, score: -92.67423664836782, average_score : -71.41179352455839, number of frames: 135, epsilon: 0.47622912292284103
episode: 148, score: -3.886976719865814, average_score : -70.62942045195096, number of frames: 409, epsilon: 0.4738479773082268
episode: 149, score: -2.9651265171656007, average_score : -70.42404951757455, number of frames: 226, epsilon: 0.47147873742168567
episode: 150, score: -11.094170528517083, average_score : -69.49566630153727, number of frames: 163, epsilon: 0.46912134373457726
episode: 151, score: -116.08116325389466, average_score : -70.59352286028357, number of frames: 123, epsilon: 0.46677573701590436
episode: 152, score: 20.43547446408833, average_score : -69.37528307631287, number of frames: 115, epsilon: 0.46444185833082485
episode: 153, score: -308.12576564752317, average_score : -72.39184184346782, number of frames: 428, epsilon: 0.46211964903917074
episode: 154, score: -202.75103017381545, average_score : -73.83895228647287, number of frames: 230, epsilon: 0.4598090507939749
episode: 155, score: -137.4066415207465, average_score : -74.22736839764829, number of frames: 281, epsilon: 0.457510005540005
episode: 156, score: -14.118084912981587, average_score : -73.20064575630353, number of frames: 156, epsilon: 0.45522245551230495
episode: 157, score: 44.87503020623231, average_score : -71.94449985984629, number of frames: 94, epsilon: 0.4529463432347434
episode: 158, score: -56.481032263550816, average_score : -71.82632929344399, number of frames: 206, epsilon: 0.4506816115185697
episode: 159, score: -6.744376902263795, average_score : -70.74794989981415, number of frames: 162, epsilon: 0.4484282034609769
episode: 160, score: 17.47427917193241, average_score : -70.48647380349448, number of frames: 126, epsilon: 0.446186062443672
episode: 161, score: -56.360185031307324, average_score : -70.50256274503646, number of frames: 134, epsilon: 0.4439551321314536
episode: 162, score: -24.088811093716174, average_score : -70.20170914028533, number of frames: 127, epsilon: 0.4417353564707963
episode: 163, score: -46.72024616187869, average_score : -70.22584482771093, number of frames: 113, epsilon: 0.43952667968844233
episode: 164, score: -216.35823264945014, average_score : -72.12416834492711, number of frames: 364, epsilon: 0.43732904629000013
episode: 165, score: -23.75161269090168, average_score : -71.97043231605495, number of frames: 96, epsilon: 0.4351424010585501
episode: 166, score: -37.44741304433528, average_score : -71.22045713478947, number of frames: 156, epsilon: 0.43296668905325736
episode: 167, score: -33.54596035747757, average_score : -70.19723933198983, number of frames: 155, epsilon: 0.43080185560799106
episode: 168, score: 35.36850177101621, average_score : -69.03303509951465, number of frames: 151, epsilon: 0.4286478463299511
episode: 169, score: -11.133979839664983, average_score : -68.14805961846874, number of frames: 1000, epsilon: 0.42650460709830135
episode: 170, score: -209.53307017529204, average_score : -69.75160956430916, number of frames: 373, epsilon: 0.42437208406280985
episode: 171, score: -60.28588876748854, average_score : -69.69471047459223, number of frames: 1000, epsilon: 0.4222502236424958
episode: 172, score: -37.387608738076935, average_score : -69.71700753997794, number of frames: 117, epsilon: 0.42013897252428334
episode: 173, score: -216.21571676231005, average_score : -71.11130243803468, number of frames: 494, epsilon: 0.4180382776616619
episode: 174, score: 20.644133243294178, average_score : -69.88030604033376, number of frames: 1000, epsilon: 0.4159480862733536
episode: 175, score: -75.51428383746368, average_score : -71.16911208947073, number of frames: 1000, epsilon: 0.41386834584198684
episode: 176, score: -97.00757515041094, average_score : -71.33003952672169, number of frames: 114, epsilon: 0.4117990041127769
episode: 177, score: 15.850316295829483, average_score : -70.4238375813535, number of frames: 1000, epsilon: 0.40974000909221303
