Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -86.66282393769663, average_score : -86.66282393769663, number of frames: 95, epsilon: 0.998
episode: 1, score: -111.0519570905385, average_score : -98.85739051411755, number of frames: 79, epsilon: 0.996004
episode: 2, score: -89.24636641685552, average_score : -95.65371581503022, number of frames: 65, epsilon: 0.994011992
episode: 3, score: -191.39688848614745, average_score : -119.58950898280952, number of frames: 124, epsilon: 0.992023968016
episode: 4, score: -111.8707516741538, average_score : -118.04575752107837, number of frames: 63, epsilon: 0.990039920079968
episode: 5, score: -336.84579818160626, average_score : -154.51243096449969, number of frames: 99, epsilon: 0.9880598402398081
episode: 6, score: -108.13216587021003, average_score : -147.88667880817258, number of frames: 103, epsilon: 0.9860837205593285
episode: 7, score: -350.1849410462544, average_score : -173.1739615879328, number of frames: 110, epsilon: 0.9841115531182099
episode: 8, score: -370.5314595524662, average_score : -195.10257247288098, number of frames: 90, epsilon: 0.9821433300119734
episode: 9, score: -166.99733952224543, average_score : -192.29204917781743, number of frames: 119, epsilon: 0.9801790433519495
episode: 10, score: -221.84904589908416, average_score : -194.97904887975076, number of frames: 117, epsilon: 0.9782186852652456
episode: 11, score: -109.14915158306101, average_score : -187.82655743835997, number of frames: 61, epsilon: 0.976262247894715
episode: 12, score: -118.21084936507032, average_score : -182.47150297118384, number of frames: 123, epsilon: 0.9743097233989256
episode: 13, score: -356.3854430459415, average_score : -194.89392726223795, number of frames: 117, epsilon: 0.9723611039521278
episode: 14, score: -376.6003074228256, average_score : -207.00768593961047, number of frames: 98, epsilon: 0.9704163817442236
episode: 15, score: -394.80288481776756, average_score : -218.74488586949525, number of frames: 133, epsilon: 0.9684755489807352
episode: 16, score: -35.33848428138509, average_score : -207.95627401137114, number of frames: 135, epsilon: 0.9665385978827737
episode: 17, score: -203.3041992811019, average_score : -207.69782541524506, number of frames: 115, epsilon: 0.9646055206870082
episode: 18, score: -194.19697207552042, average_score : -206.9872541868385, number of frames: 98, epsilon: 0.9626763096456342
episode: 19, score: -122.83079753078187, average_score : -202.77943135403567, number of frames: 106, epsilon: 0.9607509570263429
episode: 20, score: -542.1104134850984, average_score : -218.93804955075294, number of frames: 149, epsilon: 0.9588294551122902
episode: 21, score: -80.19869846159418, average_score : -212.63171541033662, number of frames: 105, epsilon: 0.9569117962020657
episode: 22, score: -251.93780254369457, average_score : -214.3406757204826, number of frames: 106, epsilon: 0.9549979726096616
episode: 23, score: -129.7561086230588, average_score : -210.81631875808998, number of frames: 100, epsilon: 0.9530879766644422
episode: 24, score: -84.85415776433373, average_score : -205.7778323183397, number of frames: 128, epsilon: 0.9511818007111134
episode: 25, score: -170.53515764680563, average_score : -204.42234483097303, number of frames: 110, epsilon: 0.9492794371096911
episode: 26, score: -104.50004623859651, average_score : -200.7215189571813, number of frames: 127, epsilon: 0.9473808782354717
episode: 27, score: -248.34817953868725, average_score : -202.4224711208065, number of frames: 81, epsilon: 0.9454861164790007
episode: 28, score: -54.62641988774577, average_score : -197.32605556104582, number of frames: 143, epsilon: 0.9435951442460427
episode: 29, score: -111.32090380687815, average_score : -194.45921716924022, number of frames: 82, epsilon: 0.9417079539575507
episode: 30, score: -273.50394691192014, average_score : -197.00904716093956, number of frames: 89, epsilon: 0.9398245380496356
episode: 31, score: -107.50324039539126, average_score : -194.2119906995162, number of frames: 101, epsilon: 0.9379448889735363
episode: 32, score: -331.2638947659136, average_score : -198.36507870152823, number of frames: 111, epsilon: 0.9360689991955893
episode: 33, score: -196.6442659425411, average_score : -198.31446656155802, number of frames: 114, epsilon: 0.9341968611971981
episode: 34, score: -78.17734166117442, average_score : -194.88197727868993, number of frames: 75, epsilon: 0.9323284674748037
episode: 35, score: -208.89225471548764, average_score : -195.2711516519343, number of frames: 123, epsilon: 0.930463810539854
episode: 36, score: -71.67681700640662, average_score : -191.93076422908223, number of frames: 81, epsilon: 0.9286028829187744
episode: 37, score: -381.3904432141089, average_score : -196.91654525500397, number of frames: 103, epsilon: 0.9267456771529368
episode: 38, score: -211.2794048927731, average_score : -197.28482370725447, number of frames: 64, epsilon: 0.9248921857986309
episode: 39, score: -431.5448629002217, average_score : -203.14132468707862, number of frames: 84, epsilon: 0.9230424014270336
episode: 40, score: -70.33826426144972, average_score : -199.9022256523072, number of frames: 85, epsilon: 0.9211963166241796
episode: 41, score: -44.30786475008182, average_score : -196.19759801177804, number of frames: 89, epsilon: 0.9193539239909312
episode: 42, score: -177.99888850788363, average_score : -195.7743722093619, number of frames: 74, epsilon: 0.9175152161429493
episode: 43, score: -373.89852220979526, average_score : -199.82264834573536, number of frames: 133, epsilon: 0.9156801857106633
episode: 44, score: -128.12523918609395, average_score : -198.22937258663222, number of frames: 70, epsilon: 0.913848825339242
episode: 45, score: -52.42186090570458, average_score : -195.05964407182947, number of frames: 159, epsilon: 0.9120211276885636
episode: 46, score: -192.60096704538694, average_score : -195.00733179467113, number of frames: 112, epsilon: 0.9101970854331864
