Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :64
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 0, score: -95.51319116594651, average_score : -95.51319116594651, number of frames: 63, epsilon: 0.995
episode: 1, score: -133.41172074968546, average_score : -114.46245595781599, number of frames: 73, epsilon: 0.990025
episode: 2, score: -298.1223195216203, average_score : -175.6824104790841, number of frames: 85, epsilon: 0.985074875
episode: 3, score: -309.33911339946684, average_score : -209.0965862091798, number of frames: 105, epsilon: 0.9801495006250001
episode: 4, score: -84.11599656027225, average_score : -184.10046827939829, number of frames: 90, epsilon: 0.9752487531218751
episode: 5, score: -279.3331040317233, average_score : -199.97257423811914, number of frames: 116, epsilon: 0.9703725093562657
episode: 6, score: -351.5432266633169, average_score : -221.62552458457594, number of frames: 89, epsilon: 0.9655206468094844
episode: 7, score: -190.9184352864619, average_score : -217.7871384223117, number of frames: 74, epsilon: 0.960693043575437
episode: 8, score: -392.9377152303993, average_score : -237.24831362321032, number of frames: 101, epsilon: 0.9558895783575597
episode: 9, score: -126.61561639905177, average_score : -226.18504390079448, number of frames: 85, epsilon: 0.9511101304657719
episode: 10, score: -58.03691478812733, average_score : -210.89885034509746, number of frames: 123, epsilon: 0.946354579813443
episode: 11, score: -99.00076580822859, average_score : -201.57400996702506, number of frames: 68, epsilon: 0.9416228069143757
episode: 12, score: -185.31134147934785, average_score : -200.32303546797297, number of frames: 77, epsilon: 0.9369146928798039
episode: 13, score: -120.64076694272919, average_score : -194.63144485902697, number of frames: 95, epsilon: 0.9322301194154049
episode: 14, score: -188.38921300148706, average_score : -194.2152960685243, number of frames: 122, epsilon: 0.9275689688183278
episode: 15, score: -166.608587466598, average_score : -192.4898767809039, number of frames: 100, epsilon: 0.9229311239742362
episode: 16, score: -97.5443040407026, average_score : -186.9048430903038, number of frames: 121, epsilon: 0.918316468354365
episode: 17, score: -152.22201902568617, average_score : -184.9780195311584, number of frames: 64, epsilon: 0.9137248860125932
episode: 18, score: 16.786804457253282, average_score : -174.3588182686104, number of frames: 72, epsilon: 0.9091562615825302
episode: 19, score: -399.90412925862273, average_score : -185.63608381811102, number of frames: 100, epsilon: 0.9046104802746175
episode: 20, score: -269.8935798897701, average_score : -189.64834553580909, number of frames: 127, epsilon: 0.9000874278732445
episode: 21, score: -169.00805421059363, average_score : -188.71015047557202, number of frames: 128, epsilon: 0.8955869907338783
episode: 22, score: -408.0898531009199, average_score : -198.24839841580453, number of frames: 91, epsilon: 0.8911090557802088
episode: 23, score: -266.37828059437953, average_score : -201.0871435065785, number of frames: 106, epsilon: 0.8866535105013078
episode: 24, score: -152.2936983900294, average_score : -199.13540570191654, number of frames: 93, epsilon: 0.8822202429488013
episode: 25, score: -455.4224688974613, average_score : -208.9926004402067, number of frames: 112, epsilon: 0.8778091417340573
episode: 26, score: -127.76140197973672, average_score : -205.98403753426336, number of frames: 127, epsilon: 0.8734200960253871
episode: 27, score: -91.08066219434302, average_score : -201.88034555783764, number of frames: 96, epsilon: 0.8690529955452602
episode: 28, score: -219.3338430834209, average_score : -202.48219030009912, number of frames: 118, epsilon: 0.8647077305675338
episode: 29, score: -47.44854437223679, average_score : -197.31440210250372, number of frames: 70, epsilon: 0.8603841919146962
episode: 30, score: -54.854389085659776, average_score : -192.7189178116378, number of frames: 65, epsilon: 0.8560822709551227
